title,date,url,player
LeBron James: LA Lakers officially sign three-time NBA champion,10 July 2018,http://www.bbc.co.uk/sport/basketball/44777008,James Harden
NBA: Golden State Warriors v LA Lakers & other key talking points for new season,18 October 2022,https://www.bbc.co.uk/sport/basketball/63287260,James Harden
Joel Embiid: Can Cameroonian help Philadelphia 76s to NBA title?,14 April 2022,https://www.bbc.co.uk/sport/africa/61107392,James Harden
Jess Fishlock: Wales midfielder surprised by team-mates during interview,25 November 2021,https://www.bbc.co.uk/sport/av/football/59423327,James Harden
LeBron James stars as LA Lakers win NBA title by beating Miami Heat,12 October 2020,https://www.bbc.co.uk/sport/av/basketball/54506596,James Harden
LeBron James: LA Lakers player becomes NBA's all-time leading points scorer,7 February,https://www.bbc.co.uk/newsround/64553059,James Harden
"NBA All-Star Weekend 2020: Slam dunks, emotional tributes and the best players",14 February 2020,https://www.bbc.co.uk/sport/basketball/51488762,James Harden
Kobe Bryant: NBA All-Star MVP Award to be named after LA Lakers legend,16 February 2020,https://www.bbc.co.uk/sport/basketball/51520480,James Harden
"NBA: Otto Porter Jr stars for Golden State Warriors, Harden helps Brooklyn win",26 December 2021,https://www.bbc.co.uk/sport/basketball/59793629,James Harden
"NBA All-Star Weekend: Slam dunks, superheroes and a shaky anthem",19 February 2018,https://www.bbc.co.uk/news/newsbeat-43112540,James Harden
Van Jaarsveld takes top PCA award,29 September 2008,http://news.bbc.co.uk/sport1/hi/cricket/counties/7642961.stm,James Harden
NBA on the BBC: The big questions as NBA returns after All-Star break,22 February,https://www.bbc.co.uk/sport/basketball/64722489,James Harden
NBA: Utah Jazz beat Philadelphia 76ers to enhance league's best record,16 February 2021,https://www.bbc.co.uk/sport/basketball/56061283,James Harden
NBA play-offs: All you need to know about the first-round match-ups,12 April 2019,https://www.bbc.co.uk/sport/basketball/47891444,James Harden
"NBA: LA rivalry, Zion Williamson & China disputes - the big talking points before new season",22 October 2019,https://www.bbc.co.uk/sport/basketball/50132656,James Harden
Houston Rockets suffer overtime loss to Portland Trail Blazers,27 December 2020,https://www.bbc.co.uk/sport/basketball/55458404,James Harden
Meet Mrs Grey from Fifty Shades,12 March 2014,https://www.bbc.co.uk/news/entertainment-arts-26547178,James Harden
NBA: Sacramento Kings win at Golden State Warriors to force play-off series decider,29 April,https://www.bbc.co.uk/sport/basketball/65434469,James Harden
Bryant shines in All-Star contest,19 February 2007,http://news.bbc.co.uk/sport1/hi/other_sports/basketball/6374867.stm,James Harden
Cardinals capture Jackson,12 March 2003,http://news.bbc.co.uk/sport1/hi/other_sports/us_sport/2845593.stm,James Harden
"NBA: Los Angeles Lakers sign Russell Westbrook, Stephen Curry extends Golden State Warriors deal",7 August 2021,https://www.bbc.co.uk/sport/basketball/58126856,James Harden
NBA: Boston Celtics beat Philadelphia 76ers 121-87 to level semi-final,4 May,https://www.bbc.co.uk/sport/basketball/65478990,James Harden
NBA finals: San Antonio Spurs beat Miami Heat to take title,16 June 2014,https://www.bbc.co.uk/sport/basketball/27864373,James Harden
Patriots stun Falcons to win Super Bowl,6 February 2017,https://www.bbc.co.uk/sport/american-football/38877420,James Harden
"Phoenix Suns stifle Stephen Curry to beat Golden State Warriors, Lakers win without James",1 December 2021,https://www.bbc.co.uk/sport/basketball/59487440,James Harden
NBA: Golden State Warriors win fifth consecutive game as Toronto Raptors beat Miami Heat,30 January 2022,https://www.bbc.co.uk/sport/basketball/60180375,James Harden
NBA: Giannis Antetokounmpo scores fifth triple-double of season in Milwaukee Bucks win,12 March 2021,https://www.bbc.co.uk/sport/basketball/56370610,James Harden
NBA play-offs: Jayson Tatum's 51-point haul leads Boston Celtics to series win,15 May,https://www.bbc.co.uk/sport/basketball/65593287,James Harden
Damian Lillard: Portland Trail Blazers point guard continues scoring streak,2 February 2020,https://www.bbc.co.uk/sport/basketball/51346693,James Harden
NBA play-offs: LeBron James helps Cleveland Cavaliers into second round,29 April 2018,https://www.bbc.co.uk/sport/basketball/43944666,James Harden
LeBron James impresses but LA Lakers lose 128-119 at Portland Trail Blazers,19 October 2018,https://www.bbc.co.uk/sport/basketball/45911389,James Harden
Iverson stars as East beat West,21 February 2005,http://news.bbc.co.uk/sport1/hi/other_sports/us_sport/4282843.stm,James Harden
NBA: Lebron James breaks all-time scoring record but LA Lakers lose to Warriors,13 February 2022,https://www.bbc.co.uk/sport/basketball/60365719,James Harden
NBA: Kevin Durant scores 23 points on Phoenix Suns debut in win at Charlotte Hornets,2 March,https://www.bbc.co.uk/sport/basketball/64820742,James Harden
NBA All-Star Game: Kobe Bryant tributes as Team LeBron beat Team Giannis,17 February 2020,https://www.bbc.co.uk/sport/basketball/51528411,James Harden
NBA: LeBron James says Los Angeles Lakers season is 'definitely different',28 February 2022,https://www.bbc.co.uk/sport/basketball/60552459,James Harden
LeBron James is first player in the NBA's top 10 all-time scoring and assists lists,26 February 2019,https://www.bbc.co.uk/sport/basketball/47368038,James Harden
NBA: Watch Sacramento Kings at Golden State Warriors live on BBC One,28 April,https://www.bbc.co.uk/sport/basketball/65428654,James Harden
LeBron James stars as Cleveland Cavaliers reach NBA finals,28 May 2016,https://www.bbc.co.uk/sport/basketball/36404508,James Harden
LeBron James: Cleveland Cavaliers star signs new deal,10 July 2015,https://www.bbc.co.uk/sport/basketball/33489957,James Harden
NBA: Kyrie Irving 'requests trade from Brooklyn Nets',4 February,https://www.bbc.co.uk/sport/basketball/64521840,James Harden
LeBron James: NBA superstar on Forbes' billionaires list,2 June 2022,https://www.bbc.co.uk/sport/basketball/61675611,James Harden
Assume Nothing: The Handler â A Matter of Life and Death: Episode 5: The Quartermaster,21 May 2022,https://www.bbc.co.uk/programmes/p0c6mgvq,James Harden
NBA: LeBron James' stunning buzzer-beater helps Cleveland Cavaliers beat Indiana Pacers,26 April 2018,https://www.bbc.co.uk/sport/av/basketball/43912603,James Harden
Assume Nothing: The Handler â A Matter of Life and Death: Episode 7: Blurred Lines,21 May 2022,https://www.bbc.co.uk/programmes/p0c6mkd5,James Harden
Assume Nothing: The Handler â A Matter of Life and Death: Episode 4: Internment day,21 May 2022,https://www.bbc.co.uk/programmes/p0c6mg64,James Harden
LeBron James: Cleveland Cavaliers star pulls out of US Rio Olympics team,24 June 2016,https://www.bbc.co.uk/sport/basketball/36613399,James Harden
Nash retains NBA MVP title,7 May 2006,http://news.bbc.co.uk/sport1/hi/other_sports/basketball/4983162.stm,James Harden
Assume Nothing: The Handler â A Matter of Life and Death: Episode 8: The Enemy Within,21 May 2022,https://www.bbc.co.uk/programmes/p0c6mkl3,James Harden
Assume Nothing: The Handler â A Matter of Life and Death: Episode 1: The First Good Source,21 May 2022,https://www.bbc.co.uk/programmes/m0016gpt,James Harden
NBA All-Star Game: Team Giannis beats Team LeBron as Jayson Tatum scores record 55 points,20 February,https://www.bbc.co.uk/sport/basketball/64701884,James Harden
NBA: LeBron James nutmegs own Cleveland Cavaliers team-mate to score,2 March 2018,https://www.bbc.co.uk/sport/av/basketball/43257158,James Harden
NBA play-offs: Sacramento Kings beat Golden State Warriors 126-123 in game one,16 April,https://www.bbc.co.uk/sport/basketball/65291057,James Harden
NBA: Donovan Mitchell dunks over 7ft JaVale McGee in top 10 plays,16 January 2019,https://www.bbc.co.uk/sport/av/basketball/46892436,James Harden
NBA: LeBron James scores slam dunk in top 10 plays,18 November 2019,https://www.bbc.co.uk/sport/av/basketball/50464754,James Harden
Assume Nothing: The Handler â A Matter of Life and Death: Episode 2: The Interrogation,21 May 2022,https://www.bbc.co.uk/programmes/m0017sz5,James Harden
NBA All-Star Game: Stephen Curry sets record as Team LeBron win 163-160 against Team Durant,21 February 2022,https://www.bbc.co.uk/sport/basketball/60459972,James Harden
NBA: Devin Booker sets franchise record as Phoenix Suns beat Utah Jazz,27 January 2022,https://www.bbc.co.uk/sport/basketball/60151709,James Harden
NBA preview: 75th anniversary season set up to be one of the greats,19 October 2021,https://www.bbc.co.uk/sport/basketball/58915171,James Harden
Assume Nothing: The Handler â A Matter of Life and Death: Episode 6: The Irish Englishman,21 May 2022,https://www.bbc.co.uk/programmes/p0c6mjq6,James Harden
NBA: Rockets-Thunder postponed after positive Covid-19 tests,23 December 2020,https://www.bbc.co.uk/sport/basketball/55433208,James Harden
"NBA play-off round-up: Nets clinch series win, Lakers face elimination",2 June 2021,https://www.bbc.co.uk/sport/basketball/57326840,James Harden
Bellator 292: Michael 'Venom' Page to face Goiti Yamauchi,8 February,https://www.bbc.co.uk/sport/mixed-martial-arts/64363294,James Harden
NBA Championship 2020: LA Lakers win the NBA title,12 October 2020,https://www.bbc.co.uk/newsround/54479567,James Harden
Assume Nothing: The Handler â A Matter of Life and Death: Episode 3: Dangerous Liaisons,21 May 2022,https://www.bbc.co.uk/programmes/p0c6mc7l,James Harden
NBA: Los Angeles Lakers lose again with LeBron James and Anthony Davis,24 March 2021,https://www.bbc.co.uk/sport/basketball/56494497,James Harden
NBA: Golden State Warriors set record and secure play-off spot on final day,10 April,https://www.bbc.co.uk/sport/basketball/65228626,James Harden
NBA play-offs: Los Angeles Lakers beat Houston Rockets to close in on Western Conference final,11 September 2020,https://www.bbc.co.uk/sport/basketball/54113998,James Harden
Nike profits up 20% in November quarter,23 December 2015,https://www.bbc.co.uk/news/business-35158366,James Harden
Olympics basketball: LeBron James leads US to narrow victory,4 August 2012,https://www.bbc.co.uk/sport/olympics/19129585,James Harden
NBA: Jrue Holiday scores late as Milwaukee Bucks beat Miami Heat,3 March 2022,https://www.bbc.co.uk/sport/basketball/60599291,James Harden
Spurs surge ahead in NBA finals,8 June 2007,http://news.bbc.co.uk/sport1/hi/other_sports/basketball/6733035.stm,James Harden
NBA: Kyrie Irving scores 40 points as Brooklyn Nets beat New York Knicks,6 April 2021,https://www.bbc.co.uk/sport/basketball/56646480,James Harden
NBA season preview: Who will challenge the Golden State Warriors?,17 October 2017,https://www.bbc.co.uk/sport/basketball/41626662,James Harden
Steph Curry: Golden State Warriors star wins MVP award,11 May 2016,https://www.bbc.co.uk/sport/basketball/36264430,James Harden
NBA: Milwaukee Bucks & Brooklyn Nets win first play-off games,23 May 2021,https://www.bbc.co.uk/sport/basketball/57217294,James Harden
NBA play-offs: Round one review and what to expect in round two,28 April 2019,https://www.bbc.co.uk/sport/basketball/48082816,James Harden
NBA: Kyrie Irving buzzer-beater gives Brooklyn Nets win at Toronto Raptors,17 December 2022,https://www.bbc.co.uk/sport/basketball/64010284,James Harden
Giannis Antetokounmpo helps Milwaukee Bucks beat Philadelphia 76ers,18 March 2021,https://www.bbc.co.uk/sport/basketball/56440079,James Harden
NBA: Milwaukee Bucks' Giannis Antetokounmpo posts triple-double to beat Washington Wizards,14 March 2021,https://www.bbc.co.uk/sport/basketball/56392125,James Harden
BBL play-offs: Mersey Tigers 79-74 Sheffield Sharks,28 April 2011,https://www.bbc.co.uk/sport/basketball/13221412,James Harden
Marcia Gay Harden added to Fifty Shades Of Grey cast,4 December 2013,https://www.bbc.co.uk/news/newsbeat-25211987,James Harden
NBA Finals: The Golden State Warriors beat the Cleveland Cavaliers to win title,13 June 2017,https://www.bbc.co.uk/sport/basketball/40257329,James Harden
Basketball World Cup: USA beat Serbia to clinch title,14 September 2014,https://www.bbc.co.uk/sport/basketball/29201182,James Harden
Stephen Curry: Golden State Warriors guard named NBA MVP,5 May 2015,https://www.bbc.co.uk/sport/basketball/32587723,James Harden
Iverson charges reduced,30 July 2002,http://news.bbc.co.uk/sport1/hi/other_sports/us_sport/2160368.stm,James Harden
