Unnamed: 0,title,time,url,author,credit_article,credit_followers,credit_tweets,textblob_Sentiment,nltk_Sentiment,most_frequent_name
3895,Hawks Rise To End Grizzlies’ Home Win Streak,2015-16,http://global.nba.com/news/hawks-rise-over-grizzlies/,Dan Bruno via RotoWire.com,None,None,None,0.0538888888888888,0.0538888888888888,Jeff Teague
3896,"Payton, Magic Roll Past Kidd-less Bucks",2015-16,http://global.nba.com/news/magic-dominate-buks/,Joel Bartilotta via RotoWire.com,None,None,None,0.1648400673400673,0.1648400673400673,Victor Oladipo
3897,Green Leads Heat Back Against Knicks,2015-16,http://global.nba.com/news/heat-97-knicks-78-game-recap/,Joe Beguiristain,452,None,None,0.0582946304537213,0.0582946304537213,Dwyane Wade
3898,Cavs Cool Off Hometown Hornets,2015-16,http://global.nba.com/news/cavs-cool-off-hometown-hornets/,NBA News,Default,Default,Default,0.1127876984126984,0.1127876984126984,LeBron James
3899,Bulls Come Up Flat in Loss to Pacers,2015-16,http://global.nba.com/news/bulls-come-up-flat-in-loss-to-pacers/,NBA News,Default,Default,Default,0.0586622807017544,0.0586622807017544,Pau Gasol
3900,Cousins Out With Back Strain vs. Wolves,2015-16,http://global.nba.com/news/injury-report-kings-vs-timberwolves/,Kyle Ramos,226,None,None,-0.0625,-0.0625,DeMarcus Cousins
3901,Kobe Fighting Against Father Time,2015-16,http://global.nba.com/news/fighting-against-father-time/,Joey Ramirez,996,None,None,0.1299072039072039,0.1299072039072039,Kobe Bryant
3902,"Exclusive: Legend Ron Harper Talks Warriors, Bulls Dynasty, MJ ‘Staying Hungry’",2015-16,http://global.nba.com/news/exclusive-legend-ron-harper-talks-warriors-bulls-dynasty-mj-staying-hungry/,NBA News,Default,Default,Default,0.1990642271774349,0.1990642271774349,James Harden
3903,Hot-Start Spurs Look To Slow Nuggets,2015-16,http://global.nba.com/news/nuggets-vs-spurs-preview/,NBA News,Default,Default,Default,0.1340405785970301,0.1340405785970301,LaMarcus Aldridge
3904,KIA Race to MVP Ladder: Curry Stays No. 1,2015-16,http://global.nba.com/news/kia-race-to-mvp-ladder-curry-stays-no-1/,NBA News,Default,Default,Default,0.1690090240641711,0.1690090240641711,Anthony Davis
3905,Milwaukee Head Coach Jason Kidd Suspended,2015-16,http://global.nba.com/news/milwaukee-head-coach-jason-kidd-suspended/,NBA News,Default,Default,Default,-0.0454545454545454,-0.0454545454545454,James Harden
3906,Magic Have Made Significant Progress on Defense,2015-16,http://global.nba.com/news/magic-have-made-significant-progress-on-defense/,NBA News,Default,Default,Default,0.1929425449833613,0.1929425449833613,Victor Oladipo
3907,"Jackson Heading Back To OKC, And Happy To Do It Wearing A Pistons Uniform",2015-16,http://global.nba.com/news/jackson-heading-back-to-okc-and-happy-to-do-it-wearing-a-pistons-uniform/,Keith Langlois,1847,20186,45418,0.0687038900067069,0.0687038900067069,Kevin Durant
3908,"Davis, Pelicans Face Daunting Task To Re-Enter NBA’s Elite",2015-16,http://global.nba.com/news/davis-pelicans-face-daunting-task-to-re-enter-nbas-elite/,Sekou Smith,None,None,None,0.1687335309617918,0.1687335309617918,LeBron James
3909,Curry vs. Westbrook debate not so simple to determine,2015-16,http://global.nba.com/news/curry-vs-westbrook-debate-not-so-simple-to-determine-2/,NBA News,Default,Default,Default,0.2113453031485818,0.2113453031485818,Stephen Curry
3910,Scott Won’t Cut Kobe’s Minutes,2015-16,http://global.nba.com/news/scott-wont-cut-kobes-minutes-2/,NBA News,Default,Default,Default,0.0467857142857142,0.0467857142857142,Kobe Bryant
3911,"Spurs: Duncan, Ginobili (Rest) To Miss Nuggets Game",2015-16,http://global.nba.com/news/spurs-injury-report-112615/,NBA News,Default,Default,Default,-0.4,-0.4,James Harden
3912,Wolves Complete Season Sweep Over Hawks,2015-16,http://global.nba.com/news/wolves-complete-season-sweep-over-hawks/,NBA News,Default,Default,Default,0.1672176870748298,0.1672176870748298,Andrew Wiggins
3913,Old School Power Rankings: Kobe Tumbles While Parker Claims Top Spot,2015-16,http://global.nba.com/news/old-school-power-rankings-kobe-tumbles-while-parker-claims-top-spot/,"Scott Wraight, NBA.com",34,None,None,0.0103459683947488,0.0103459683947488,Zach Randolph
3914,"LeBron, Cavs Vent After Latest Road Loss",2015-16,http://global.nba.com/news/lebron-cavs-vent-after-latest-road-loss/,NBA News,Default,Default,Default,0.0016812865497076,0.0016812865497076,LeBron James
3915,Griffin Scores 40 In Defeat,2015-16,http://global.nba.com/news/griffin-scores-40-in-defeat/,NBA News,Default,Default,Default,0.2185185185185184,0.2185185185185184,Chris Paul
3916,LeBron Passes Reggie Miller for 18th On All-Time Scoring List in Loss,2015-16,http://global.nba.com/news/lebron-passes-reggie-miller-for-18th-on-all-time-scoring-list/,NBA News,Default,Default,Default,0.1658333333333333,0.1658333333333333,LeBron James
3917,Jazz Overcome Griffin’s 40 To Get Road Win,2015-16,http://global.nba.com/news/clippers-fall-to-jazz-102-91/,NBA News,Default,Default,Default,-0.0517676767676767,-0.0517676767676767,Chris Paul
3918,Raptors Top Cavaliers 103-99 On Drake Night,2015-16,http://global.nba.com/news/game-rap-raptors-103-cavaliers-99/,NBA News,Default,Default,Default,0.0993626469017093,0.0993626469017093,Kyle Lowry
3919,Pelicans Off To Strong Start on Road Trip with Win in Desert,2015-16,http://global.nba.com/news/postgame-pelicans-120-suns-114/,Jim Eichenhofer,2565,21361,44563,0.0242148760330578,0.0242148760330578,Anthony Davis
3920,Shorthanded Kings Bounce Bucks,2015-16,http://global.nba.com/news/shorthanded-kings-bounce-bucks/,Shahbaz Khan,258,None,None,0.1590686274509803,0.1590686274509803,Rudy Gay
3921,"Sixers Come Close, Can’t Get Past C’s",2015-16,http://global.nba.com/news/game-recap-celtics-84-76ers-80/,Brian Seltzer,780,None,None,0.1035734327400993,0.1035734327400993,James Harden
3922,Thunder Edge Game Nets Team With Balanced Attack,2015-16,http://global.nba.com/news/thunder-vs-brooklyn-nets-game-recap-nov-25-2015/,NBA News,Default,Default,Default,0.0895363408521303,0.0895363408521303,Russell Westbrook
3923,"Grizzlies Blast Rockets in Houston, 102-93",2015-16,http://global.nba.com/news/grizzlies-blast-rockets-in-houston-102-93/,NBA News,Default,Default,Default,0.0696070148489503,0.0696070148489503,Jeff Green
3924,Porzingis Thought He May End Up With Magic Prior to Draft,2015-16,http://global.nba.com/news/porzingis-thought-he-may-end-up-with-magic-prior-to-draft/,NBA News,Default,Default,Default,0.2249690785405071,0.2249690785405071,Victor Oladipo
3925,Wolves Pounce on Hawks,2015-16,http://global.nba.com/news/wolves-pounce-on-hawks/,Dan Bruno via RotoWire.com,None,None,None,0.2134920634920634,0.2134920634920634,Andrew Wiggins
3926,Oladipo’s Magic Trick Works As Orlando Topples Knicks,2015-16,http://global.nba.com/news/postgame-report-magic-vs-knicks-112515/,NBA News,Default,Default,Default,0.1176423017430211,0.1176423017430211,Victor Oladipo
3927,"Pistons Break Out from Deep, Crush Miami as Drummond Dominates",2015-16,http://global.nba.com/news/finally-pistons-break-out-from-3-point-line-to-crush-miami-as-drummond-dominates/,Keith Langlois,1847,20186,45418,-0.0223170731707317,-0.0223170731707317,Reggie Jackson
3928,Hornets Winning Ways Continue Against Wizards,2015-16,http://global.nba.com/news/hornets-winning-ways-continue-against-wizards/,NBA News,Default,Default,Default,0.0285012826679493,0.0285012826679493,Kemba Walker
3929,Suns Found a Hidden Gem in Jon Leuer,2015-16,http://global.nba.com/news/suns-found-a-hidden-gem-in-jon-leuer/,Ben York,13,None,None,-0.0233022186147186,-0.0233022186147186,James Harden
