,name,age,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,games_played,is_combined_totals,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,positions,slug,steal_percentage,team,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes
674,Yuta Watanabe,27,6.6,3.5,-2.0,0.0,19.0,0.6,0.29,38,False,445,-1.9,4.2,0.1,11.5,['SMALL FORWARD'],watanyu01,1.2,TORONTO RAPTORS,0.572,11.2,0.524,10.9,16.8,0.0,0.7,0.075
581,Dennis Schröder,28,32.0,0.7,-4.4,-1.9,12.0,0.1,0.279,15,False,404,-2.5,1.6,0.1,11.5,['POINT GUARD'],schrode01,1.4,HOUSTON ROCKETS,0.414,6.8,0.519,19.9,20.6,-0.2,0.2,0.02
547,Austin Reaves,23,10.3,1.3,-1.9,-0.6,11.2,0.8,0.371,61,False,1418,-1.3,3.4,2.1,11.5,['SHOOTING GUARD'],reaveau01,1.0,LOS ANGELES LAKERS,0.525,7.3,0.6,9.8,12.4,0.0,2.9,0.097
146,Gabriel Deck,26,13.7,0.0,-2.5,-1.3,9.3,0.0,0.0,7,False,56,-1.2,1.8,0.1,11.5,['POWER FORWARD'],deckga01,0.9,OKLAHOMA CITY THUNDER,0.286,5.5,0.643,12.5,12.3,0.0,0.1,0.08
117,Gary Clark,27,6.4,1.8,0.1,0.0,20.1,0.4,0.114,38,False,378,0.1,6.6,0.3,11.4,['POWER FORWARD'],clarkga01,1.7,NEW ORLEANS PELICANS,0.795,13.2,0.547,9.8,11.6,0.2,0.7,0.092
135,Torrey Craig,31,7.5,2.7,-1.1,0.9,16.4,1.0,0.106,27,False,562,-1.9,5.3,0.2,11.4,['SMALL FORWARD'],craigto01,1.9,PHOENIX SUNS,0.6,11.0,0.558,14.3,15.0,0.1,1.1,0.096
356,Cory Joseph,30,21.8,1.0,-2.1,-0.1,10.3,0.8,0.283,65,False,1600,-2.0,1.9,1.7,11.4,['POINT GUARD'],josepco01,1.3,DETROIT PISTONS,0.393,5.9,0.579,15.9,14.3,0.0,2.5,0.075
434,Doug McDermott,30,7.3,0.4,-2.5,-2.1,8.4,0.5,0.11,51,False,1223,-0.4,1.5,1.1,11.4,['POWER FORWARD'],mcderdo01,0.5,SAN ANTONIO SPURS,0.551,4.9,0.593,8.1,18.3,-0.1,1.6,0.062
190,Tacko Fall,26,4.6,9.1,-3.4,0.8,29.4,0.1,0.583,11,False,59,-4.1,13.4,-0.1,11.3,['CENTER'],fallta01,0.0,CLEVELAND CAVALIERS,0.0,21.6,0.398,16.6,13.6,0.0,0.1,0.043
334,Jalen Johnson,20,3.7,1.5,-4.9,-1.1,21.8,0.1,0.171,22,False,120,-3.9,1.8,-0.1,11.3,['POWER FORWARD'],johnsja05,1.2,ATLANTA HAWKS,0.317,11.9,0.59,17.0,19.3,-0.1,0.0,0.013
649,P.J. Tucker,36,10.6,0.8,0.6,1.4,16.2,2.6,0.143,71,False,1981,-0.8,5.8,2.4,11.3,['POWER FORWARD'],tuckepj01,1.5,MIAMI HEAT,0.451,11.1,0.593,12.7,11.7,1.3,5.0,0.121
615,Lamar Stevens,24,6.5,1.6,-2.9,0.3,12.5,1.2,0.235,63,False,1015,-3.2,5.2,0.4,11.3,['POWER FORWARD'],stevela01,1.5,CLEVELAND CAVALIERS,0.204,8.9,0.544,10.4,17.1,-0.2,1.6,0.078
326,Ty Jerome,24,21.3,0.6,-2.3,-0.2,7.7,0.5,0.143,48,False,801,-2.2,2.4,0.0,11.3,['SHOOTING GUARD'],jeromty01,1.8,OKLAHOMA CITY THUNDER,0.567,5.0,0.488,9.6,20.8,-0.1,0.5,0.032
284,Aaron Holiday,25,17.1,1.2,-2.1,0.3,9.5,0.4,0.164,41,False,663,-2.4,1.5,0.1,11.3,['POINT GUARD'],holidaa01,1.8,WASHINGTON WIZARDS,0.313,5.6,0.547,14.5,18.0,0.0,0.5,0.038
136,Jae Crowder,31,8.3,1.4,1.1,2.4,18.0,3.4,0.165,67,False,1886,-1.3,1.8,0.9,11.3,['POWER FORWARD'],crowdja01,2.4,PHOENIX SUNS,0.671,10.1,0.541,8.6,14.6,1.5,4.3,0.11
691,Grant Williams,23,5.7,2.8,-0.4,1.1,11.8,2.6,0.22,77,False,1875,-1.4,3.8,2.4,11.2,['POWER FORWARD'],willigr01,1.0,BOSTON CELTICS,0.597,7.9,0.635,11.6,12.6,0.8,5.1,0.13
50,Dāvis Bertāns,29,7.1,1.8,-0.7,-0.3,18.2,0.4,0.096,22,False,306,-0.4,2.2,0.2,11.2,['POWER FORWARD'],bertada01,1.0,DALLAS MAVERICKS,0.827,10.2,0.54,4.4,16.7,0.1,0.6,0.098
65,Brandon Boston Jr.,20,10.1,1.5,-3.3,-0.4,12.7,0.9,0.222,51,False,760,-3.0,2.4,-0.5,11.2,['SHOOTING GUARD'],bostobr01,1.7,LOS ANGELES CLIPPERS,0.342,7.7,0.481,8.0,22.4,-0.3,0.4,0.026
586,Collin Sexton,23,11.9,0.0,-4.1,-0.7,7.9,0.3,0.258,11,False,316,-3.5,4.6,-0.4,11.2,['SHOOTING GUARD'],sextoco01,1.6,CLEVELAND CAVALIERS,0.298,6.3,0.523,15.6,27.9,-0.2,-0.1,-0.009
641,Matisse Thybulle,24,6.1,3.8,1.1,3.3,7.1,2.5,0.143,66,False,1685,-2.2,2.8,1.2,11.2,['SHOOTING GUARD'],thybuma01,3.4,PHILADELPHIA 76ERS,0.48,5.0,0.594,10.9,9.5,1.3,3.7,0.107
161,Ayo Dosunmu,22,16.5,1.2,-2.0,-0.1,9.9,1.3,0.146,77,False,2110,-1.9,1.4,1.7,11.2,['SHOOTING GUARD'],dosunay01,1.4,CHICAGO BULLS,0.348,5.7,0.596,15.9,14.1,0.0,3.0,0.069
448,Paul Millsap,36,11.8,3.6,-3.1,0.5,23.6,0.3,0.2,24,False,270,-3.6,12.0,0.1,11.2,['CENTER'],millspa01,0.9,BROOKLYN NETS,0.318,17.9,0.443,10.6,16.5,-0.1,0.4,0.069
99,Facundo Campazzo,30,24.1,1.8,-0.8,1.3,8.6,1.3,0.264,65,False,1184,-2.1,2.2,0.6,11.1,['POINT GUARD'],campafa01,2.6,DENVER NUGGETS,0.652,5.5,0.503,16.9,14.7,0.4,2.0,0.081
397,Isaiah Livers,23,8.0,1.6,-1.5,-0.2,12.5,0.3,0.156,19,False,383,-1.3,4.0,0.4,11.1,['SMALL FORWARD'],liveris01,1.7,DETROIT PISTONS,0.711,8.0,0.629,13.5,12.4,0.0,0.7,0.085
280,Malcolm Hill,26,5.6,1.0,-3.1,-1.6,13.5,0.1,0.227,16,False,166,-1.5,6.1,0.2,11.0,['SMALL FORWARD'],hillma01,0.9,CHICAGO BULLS,0.705,9.8,0.568,5.8,13.6,0.0,0.3,0.091
