,season,slug,name,team,age,%games_played,minutes_played,points,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,offensive_rebounds,personal_fouls,steals,turnovers,field_goal%,free_throw%,3pt,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,free_throw_attempt_rate,offensive_box_plus_minus,offensive_rebound_percentage,player_efficiency_rating,steal_percentage,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares_per_48_minutes
1226,2023,barrerj01,RJ Barrett,NEW YORK KNICKS,22,0.8918918918918919,34.0,19.757575757575758,2.696969696969697,16.181818181818183,5.333333333333333,5.348484848484849,0.19696969696969696,4.257575757575758,1.0,7.045454545454546,3.9696969696969697,1.696969696969697,0.8333333333333334,2.484848484848485,0.4393939393939394,2.212121212121212,0.4353932584269663,0.7443181818181819,0.31728045325779036,12.3,0.5,-2.8,-1.8,13.6,0.33,-1.0,2.7,13.2,0.6,0.331,8.2,0.533,10.7,26.2,-0.4,0.05
1227,2023,bealbr01,Bradley Beal,WASHINGTON WIZARDS,29,0.6712328767123288,33.48979591836735,23.346938775510203,5.387755102040816,17.612244897959183,4.448979591836735,4.387755102040816,0.673469387755102,3.1020408163265305,1.0,8.979591836734693,3.7551020408163267,1.6326530612244898,0.7959183673469388,2.061224489795918,0.9183673469387755,2.9183673469387754,0.5098493626882966,0.8440366972477065,0.372093023255814,26.8,1.7,2.0,-1.1,9.9,0.253,3.1,2.8,20.1,1.3,0.249,6.5,0.597,13.0,29.3,1.7,0.105
1228,2023,bogdabo02,Bojan Bogdanović,DETROIT PISTONS,33,0.8082191780821918,32.08474576271186,21.576271186440678,2.5762711864406778,14.94915254237288,5.135593220338983,5.983050847457627,0.13559322033898305,3.169491525423729,1.0,7.288135593220339,4.5423728813559325,2.457627118644068,0.6101694915254238,1.9152542372881356,0.576271186440678,2.288135593220339,0.4875283446712019,0.8844884488448846,0.4107648725212465,13.5,0.4,0.8,-1.8,11.3,0.344,2.6,2.0,17.5,0.9,0.4,6.5,0.627,11.7,25.8,1.4,0.093
1229,2023,bookede01,Devin Booker,PHOENIX SUNS,26,0.6111111111111112,34.5,28.022727272727273,5.4772727272727275,20.75,6.159090909090909,6.113636363636363,0.36363636363636365,3.6136363636363638,1.0,10.295454545454545,5.181818181818182,2.25,0.8863636363636364,2.977272727272727,0.9090909090909091,2.5454545454545454,0.49616648411829134,0.8413284132841328,0.3680297397769517,27.8,1.0,4.4,-0.4,11.9,0.297,4.8,2.8,22.3,1.3,0.295,7.3,0.597,9.8,32.1,2.5,0.158
1230,2023,brookdi01,Dillon Brooks,MEMPHIS GRIZZLIES,27,0.9027777777777778,30.476923076923075,14.23076923076923,2.5692307692307694,13.661538461538461,2.076923076923077,5.892307692307693,0.2,2.6615384615384614,1.0,5.338461538461538,1.646153846153846,1.9076923076923078,0.6307692307692307,3.2615384615384615,0.8769230769230769,1.4153846153846155,0.39076576576576577,0.7925925925925925,0.3237597911227154,11.6,0.6,-4.0,-0.5,9.2,0.152,-3.6,2.2,9.2,1.4,0.431,5.7,0.488,8.9,21.7,-1.0,0.033
1231,2023,brownja02,Jaylen Brown,BOSTON CELTICS,26,0.821917808219178,36.166666666666664,26.733333333333334,3.3833333333333333,20.466666666666665,5.4,7.35,0.43333333333333335,5.65,1.0,10.033333333333333,4.166666666666667,2.5,1.2333333333333334,2.683333333333333,1.1833333333333333,2.933333333333333,0.490228013029316,0.7716049382716049,0.3401360544217687,16.1,1.0,1.5,-0.3,16.9,0.264,1.7,3.8,19.4,1.6,0.359,10.4,0.585,11.4,31.2,1.9,0.104
1232,2023,brunsja01,Jalen Brunson,NEW YORK KNICKS,26,0.8648648648648649,34.90625,23.765625,6.171875,17.4375,5.828125,4.65625,0.234375,2.953125,1.0,8.484375,4.875,1.921875,0.578125,2.25,0.890625,1.984375,0.48655913978494625,0.8364611260053619,0.412751677852349,28.9,0.6,3.9,-0.5,9.2,0.334,4.3,1.8,21.3,1.3,0.267,5.5,0.594,9.0,27.0,3.3,0.18
1233,2023,bullore01,Reggie Bullock,DALLAS MAVERICKS,31,0.9452054794520548,30.55072463768116,7.246376811594203,1.4202898550724639,6.043478260869565,0.5362318840579711,5.086956521739131,0.18840579710144928,3.1739130434782608,0.6666666666666666,2.463768115942029,0.37681159420289856,1.9420289855072463,0.463768115942029,2.2028985507246377,0.7536231884057971,0.463768115942029,0.40767386091127095,0.7027027027027026,0.3817663817663817,6.3,0.6,-2.3,-0.2,12.4,0.089,-2.1,1.8,7.9,1.2,0.842,7.0,0.577,6.9,10.0,-0.1,0.062
1234,2023,butleji01,Jimmy Butler,MIAMI HEAT,33,0.7837837837837838,33.310344827586206,22.67241379310345,5.068965517241379,13.89655172413793,8.689655172413794,1.603448275862069,0.3620689655172414,3.706896551724138,1.0,7.362068965517241,7.413793103448276,0.5344827586206896,2.3793103448275863,1.2758620689655173,1.8620689655172413,1.6551724137931034,0.5297766749379652,0.8531746031746031,0.3333333333333333,26.0,1.1,8.5,2.0,13.5,0.625,6.5,8.0,27.3,2.8,0.115,10.7,0.64,8.5,25.7,5.1,0.27
1235,2023,caldwke01,Kentavious Caldwell-Pope,DENVER NUGGETS,29,0.9452054794520548,31.71014492753623,11.057971014492754,2.4782608695652173,8.347826086956522,1.5942028985507246,4.246376811594203,0.4492753623188406,2.260869565217391,1.0,3.9420289855072466,1.3333333333333333,1.8405797101449275,0.4492753623188406,1.9565217391304348,1.463768115942029,1.1304347826086956,0.47222222222222227,0.8363636363636363,0.43344709897610917,9.9,1.3,-0.8,0.5,8.0,0.191,-1.3,1.7,11.8,2.3,0.509,5.0,0.611,11.1,14.0,0.7,0.096
