,name,minutes_played,games_played,points,team,age,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,offensive_rebounds,personal_fouls,positions,slug,steals,turnovers
17,Trevor Ariza,2629,72,1072,HOUSTON ROCKETS,24,276,999,228,407,40,325,71,394,148,136,78,162,['SMALL FORWARD'],arizatr01,126,161
62,Corey Brewer,2482,82,1066,MINNESOTA TIMBERWOLVES,23,193,949,256,237,29,209,82,409,166,82,70,224,['SHOOTING GUARD'],breweco01,117,164
348,Troy Murphy,2344,72,1050,INDIANA PACERS,29,150,813,193,333,34,608,69,384,154,128,129,175,['POWER FORWARD'],murphtr01,72,100
177,Eric Gordon,2229,62,1045,LOS ANGELES CLIPPERS,21,186,784,299,321,14,135,60,352,222,119,25,96,['SHOOTING GUARD'],gordoer01,69,144
467,Beno Udrih,2477,79,1023,SACRAMENTO KINGS,27,372,841,141,199,10,181,41,415,118,75,38,166,['POINT GUARD'],udrihbe01,89,136
296,Rashard Lewis,2369,72,1013,ORLANDO MAGIC,30,107,805,180,423,28,256,72,350,145,168,62,180,['POWER FORWARD'],lewisra02,78,108
162,Marc Gasol,2469,69,1008,MEMPHIS GRIZZLIES,25,165,651,376,1,109,432,69,378,252,0,208,254,['CENTER'],gasolma01,69,135
61,Elton Brand,2297,76,996,PHILADELPHIA 76ERS,30,109,858,233,1,80,282,57,412,172,0,179,232,['POWER FORWARD'],brandel01,82,131
261,Richard Jefferson,2520,81,994,SAN ANTONIO SPURS,29,158,775,287,187,40,298,70,362,211,59,58,178,['SMALL FORWARD'],jefferi01,45,105
95,Wilson Chandler,2320,65,993,NEW YORK KNICKS,22,138,860,160,150,49,255,64,412,129,40,93,184,['SHOOTING GUARD'],chandwi01,46,108
80,Rasual Butler,2702,82,979,LOS ANGELES CLIPPERS,30,116,870,145,432,68,201,64,356,122,145,39,121,['SMALL FORWARD'],butlera01,36,79
81,Andrew Bynum,1977,65,977,LOS ANGELES LAKERS,22,68,688,261,1,94,364,65,392,193,0,177,193,['CENTER'],bynuman01,35,115
146,Raymond Felton,2643,80,968,CHARLOTTE BOBCATS,25,446,846,173,156,22,235,80,388,132,60,53,172,['POINT GUARD'],feltora01,123,168
102,Mike Conley,2569,80,959,MEMPHIS GRIZZLIES,22,425,830,187,212,12,161,80,369,139,82,30,178,['POINT GUARD'],conlemi01,109,170
455,Jason Thompson,2357,75,939,SACRAMENTO KINGS,23,124,784,277,10,73,413,58,370,198,1,224,279,['CENTER'],thompja02,41,139
511,Thaddeus Young,2145,67,926,PHILADELPHIA 76ERS,21,97,813,165,138,15,220,45,382,114,48,130,133,['POWER FORWARD'],youngth01,81,126
122,Boris Diaw,2906,82,925,CHARLOTTE BOBCATS,27,325,773,147,206,57,293,82,373,113,66,131,219,['POWER FORWARD'],diawbo01,60,178
214,Grant Hill,2430,81,912,PHOENIX SUNS,37,193,703,251,80,36,371,81,336,205,35,74,165,['SMALL FORWARD'],hillgr01,60,108
306,Shawn Marion,2385,75,898,DALLAS MAVERICKS,31,107,778,139,19,61,319,75,395,105,3,158,141,['SMALL FORWARD'],mariosh01,69,99
374,Tony Parker,1728,56,894,SAN ANTONIO SPURS,27,317,716,246,34,8,128,50,349,186,10,7,96,['POINT GUARD'],parketo01,29,149
294,Courtney Lee,2375,71,885,NEW JERSEY NETS,24,121,775,153,225,20,192,66,338,133,76,60,130,['SHOOTING GUARD'],leeco01,93,76
365,Lamar Odom,2585,82,882,LOS ANGELES LAKERS,30,267,739,202,182,59,618,38,342,140,58,184,227,['POWER FORWARD'],odomla01,75,150
505,Metta World Peace,2605,77,845,LOS ANGELES LAKERS,30,234,740,186,296,21,232,77,306,128,105,99,165,['SMALL FORWARD'],artesro01,106,121
