,title,time,url,author,credit_article,credit_followers,credit_tweets,textblob_Sentiment,nltk_Sentiment,most_frequent_name,relevance_score,bert_relevance
626,Blogtable: Can Minnesota Timberwolves keep top-four seed without Jimmy Butler?,2018,http://global.nba.com/news/blogtable-can-minnesota-timberwolves-keep-top-four-seed-without-jimmy-butler/,NBA News,21995.89999999999,84859.0,93866.0,0.1551142665901701,0.1551142665901701,Jimmy Butler,0.2152091997555576,0.6835508346557617
627,"Spurs brace for red-hot Davis, Pelicans",2018,http://global.nba.com/news/spurs-brace-red-hot-davis-pelicans/,NBA News,21995.89999999999,84859.0,93866.0,0.069940823065823,0.069940823065823,Anthony Davis,0.1731664417110811,0.68752521276474
628,Rockets-Clippers showdown includes Harden this time,2018,http://global.nba.com/news/rockets-clippers-showdown-includes-harden-time/,NBA News,21995.89999999999,84859.0,93866.0,0.1246031746031746,0.1246031746031746,Austin Rivers,0.1312795804061929,0.6865987777709961
629,Warriors’ meeting with Wizards trumps off-court activity,2018,http://global.nba.com/news/warriors-meeting-wizards-trumps-off-court-activity/,NBA News,21995.89999999999,84859.0,93866.0,0.0441547831253713,0.0441547831253713,Kevin Durant,0.1304553677385563,0.6698825359344482
630,LeBron James ‘flattered’ but ‘not distracted’ by billboards recruiting him to Philadelphia,2018,http://global.nba.com/news/lebron-james-billboards-recruiting-philadelphia-no-distraction/,NBA News,21995.89999999999,84859.0,93866.0,0.2410497835497835,0.2410497835497835,LeBron James,0.3318650754117046,0.6734024286270142
631,Grizzlies’ Marc Gasol reflects on season thus far,2018,http://global.nba.com/news/marc-gasol-voices-frustration-season/,NBA News,21995.89999999999,84859.0,93866.0,0.1236287477954144,0.1236287477954144,Marc Gasol,0.1763151079769282,0.6580509543418884
632,NBA Academies to host series of camps for top female prospects from outside the U.S.,2018,http://global.nba.com/news/nba-academies-host-series-basketball-development-camps-top-female-prospects-outside-u-s/,NBA News,21995.89999999999,84859.0,93866.0,0.1212809917355371,0.1212809917355371,LeBron James,0.0,0.6734024286270142
633,"Unfortunate events, bad timing could mean tough summer for impending free agent Isaiah Thomas",2018,http://global.nba.com/news/unfortunate-events-bad-timing-mean-tough-summer-impending-free-agent-isaiah-thomas/,NBA News,21995.89999999999,84859.0,93866.0,0.1392314271749755,0.1392314271749755,LeBron James,0.0480880159882983,0.6734024286270142
634,PRO•LINE Where to Watch: March 28,2018,http://global.nba.com/news/pro%e2%80%a2line-where-to-watch-march-28/,NBA News,21995.89999999999,84859.0,93866.0,-0.0361111111111111,-0.0361111111111111,LeBron James,0.1779327739559924,0.6734024286270142
635,Lillard has 26 points and Blazers beat Kings 116-99,2018,http://global.nba.com/news/lillard-26-points-blazers-beat-kings-116-99/,NBA News,21995.89999999999,84859.0,93866.0,0.0802777777777777,0.0802777777777777,Damian Lillard,0.2255230323640869,0.6709682941436768
636,"Beal, Potter lead Wizards past Bucks 107-104",2018,http://global.nba.com/news/beal-potter-lead-wizards-past-bucks-107-104/,NBA News,21995.89999999999,84859.0,93866.0,0.2396990740740741,0.2396990740740741,Giannis Antetokounmpo,0.0941157998785218,0.6605729460716248
637,"Cavaliers’ LeBron James first with 30,000 points, 8,000 assists and 8,000 rebounds",2018,http://global.nba.com/news/cavaliers-lebron-james-first-30000-points-8000-assists-8000-rebounds/,NBA News,21995.89999999999,84859.0,93866.0,0.0638888888888889,0.0638888888888889,LeBron James,0.4589075701351541,0.6734024286270142
638,"Father Prime: Wade gets 27, Heat beat 76ers 102-101",2018,http://global.nba.com/news/father-prime-wade-gets-27-heat-beat-76ers-102-101/,NBA News,21995.89999999999,84859.0,93866.0,0.0254603174603174,0.0254603174603174,Joel Embiid,0.0616985760530042,0.660932719707489
639,LeBron’s triple-double helps Cavs hold off Nets in thriller,2018,http://global.nba.com/news/lebrons-triple-double-helps-cavs-hold-off-nets-thriller/,NBA News,21995.89999999999,84859.0,93866.0,0.0711443337024732,0.0711443337024732,LeBron James,0.2636089419783849,0.6734024286270142
640,Kemba helps Hornets top Bulls 118-103 for fifth straight win,2018,http://global.nba.com/news/kemba-helps-hornets-top-bulls-118-103-fifth-straight-win/,NBA News,21995.89999999999,84859.0,93866.0,0.068693009118541,0.068693009118541,Nicolas Batum,0.1036198971805189,0.6650165915489197
641,Ailing Clippers take on Nuggets,2018,http://global.nba.com/news/ailing-clippers-take-nuggets/,NBA News,21995.89999999999,84859.0,93866.0,-0.0013769841269841,-0.0013769841269841,Will Barton,0.0338627223457597,0.6720836758613586
642,"76ers, Heat seek win to stay above playoff cutoff line",2018,http://global.nba.com/news/76ers-heat-seek-win-stay-playoff-cutoff-line/,NBA News,21995.89999999999,84859.0,93866.0,0.1038874458874458,0.1038874458874458,Bradley Beal,0.0783772988210611,0.671540379524231
