Unnamed: 0,title,time,url,author,credit_article,credit_followers,credit_tweets,textblob_Sentiment,nltk_Sentiment
44,Surging Mavs stun Spurs in San Antonio,2016-17,http://global.nba.com/news/surging-mavs-stun-spurs-in-san-antonio/,NBA News,Default,Default,Default,0.0143181818181818,0.014318181818181822
45,DeRozan returns but Magic edge Raptors,2016-17,http://global.nba.com/news/derozan-returns-but-magic-edge-raptors/,NBA News,Default,Default,Default,0.1145700199271627,0.11457001992716276
46,"Paul George erupts as Pacers knock off Harden, Rockets",2016-17,http://global.nba.com/news/paul-george-erupts-as-pacers-knock-off-harden-rockets/,NBA News,Default,Default,Default,0.0472906403940886,0.04729064039408867
47,Kyrie and LeBron lead Cavs to win over Thunder despite Russ triple-double,2016-17,http://global.nba.com/news/kyrie-and-lebron-lead-cavs-to-win-over-thunder-despite-russ-triple-double/,NBA News,Default,Default,Default,0.0788822751322751,0.07888227513227512
48,Trail Blazers finding success with new lineup,2016-17,http://global.nba.com/news/trail-blazers-finding-success-with-new-lineup/,NBA News,Default,Default,Default,0.1576502899616106,0.15765028996161068
49,Motivated Morris rolling for Wizards,2016-17,http://global.nba.com/news/motivated-morris-rolling-for-wizards/,NBA News,Default,Default,Default,0.1918374925727866,0.19183749257278668
50,"J.R. Smith: Cavs have been here before, will be fine",2016-17,http://global.nba.com/news/j-r-smith-cavs-have-been-here-before-will-be-fine/,NBA News,Default,Default,Default,0.1268452380952381,0.1268452380952381
51,Eric Bledsoe scores career-high 41 points vs. Nuggets,2016-17,http://global.nba.com/news/eric-bledsoe-scores-career-high-41-points-vs-nuggets/,Cody Cunningham,436,None,None,0.050995670995671,0.050995670995671004
52,Gasol tops Gobert as Grizz win in Utah,2016-17,http://global.nba.com/news/grizzlies-take-the-win-in-utah/,Lesley Torrell,2,None,None,0.0782356532356532,0.07823565323565324
53,"Gallinari’s Season High Outshines Bledsoe, Suns",2016-17,http://global.nba.com/news/nuggets-eclipse-suns/,dbier,None,None,None,-0.0052083333333333,-0.005208333333333331
54,"Cousins, Kings hold off Hornets’ late run",2016-17,http://global.nba.com/news/kings-hold-off-hornets-late-run/,Shahbaz Khan,258,None,None,0.0161375661375661,0.01613756613756613
55,Steph’s splash party highlights Dubs’ rout of L.A.,2016-17,http://global.nba.com/news/stephs-splash-party-highlights-dubs-rout-of-l-a/,Andy Fahey,634,None,None,0.0702889702889702,0.07028897028897028
56,Heat defeat Pistons for 7th-straight win,2016-17,http://global.nba.com/news/pistons-103-heat-116-game-recap/,Joe Beguiristain,452,None,None,0.0026542377957472,0.0026542377957472184
57,"Thomas, Celtics down Bucks in OT",2016-17,http://global.nba.com/news/keys-to-the-game-celtics-112-bucks-108-ot/,Marc DAmico,88,None,None,0.0385698723934017,0.038569872393401795
58,Randle restricted from activities due to pneumonia,2016-17,http://global.nba.com/news/randle-restricted-from-activities-due-to-pneumonia/,Ty Nowell,123,None,None,-0.2,-0.2
59,Jan. 28 Shootaround — Stay ‘Melo,2016-17,http://global.nba.com/news/jan-28-shootaround-stay-melo/,NBA News,Default,Default,Default,0.0521774193548387,0.0521774193548387
60,Heat win sixth straight in Windy City,2016-17,http://global.nba.com/news/heat-win-sixth-straight-in-windy-city/,NBA News,Default,Default,Default,0.0501875901875902,0.050187590187590204
61,Anthony Davis leads Pelicans past Spurs,2016-17,http://global.nba.com/news/anthony-davis-leads-pelicans-past-spurs/,NBA News,Default,Default,Default,0.1222050172050171,0.12220501720501717
62,Harden Makes History With Second 50-Point Triple-Double In Win Over Sixers,2016-17,http://global.nba.com/news/harden-makes-history-with-second-50-point-triple-double-in-win-over-sixers/,NBA News,Default,Default,Default,0.0098832550428295,0.009883255042829511
63,Pacers hold on to win in OT,2016-17,http://global.nba.com/news/pacers-hold-on-to-win-in-ot/,NBA News,Default,Default,Default,-0.0421052631578947,-0.042105263157894736
64,Melo hits game-clincher in Knicks’ thrilling win over Hornets,2016-17,http://global.nba.com/news/anthony-hits-game-clincher-in-knicks-win/,NBA News,Default,Default,Default,0.0261770935158031,0.026177093515803176
65,Cavaliers rebound with convincing win over Nets,2016-17,http://global.nba.com/news/cavaliers-rebound-with-convincing-win-over-nets/,NBA News,Default,Default,Default,0.0999999999999999,0.09999999999999999
66,Anthony Davis will play against Spurs; Pelicans plan to go back to previous starting frontcourt,2016-17,http://global.nba.com/news/anthony-davis-will-play-against-spurs-pelicans-plan-to-go-back-to-previous-starting-frontcourt/,Jim Eichenhofer,2565,21361,44563,0.0482473544973544,0.04824735449735449
67,The reeling Chicago Bulls take on the scorching hot Miami Heat,2016-17,http://global.nba.com/news/keys-to-the-game-bulls-vs-heat-01-27-17/,Matt Moreno,1636,None,None,0.0801218570023879,0.08012185700238794
68,Enes Kanter undergoes successful surgery,2016-17,http://global.nba.com/news/enes-kanter-undergoes-successful-surgery/,Matt Bishop,483,None,None,0.0607142857142857,0.06071428571428572
