,title,time,url,author,credit_article,credit_followers,credit_tweets,textblob_Sentiment,nltk_Sentiment,most_frequent_name,relevance_score,bert_relevance
291,Clippers’ Paul George Fined,2020,http://global.nba.com/news/clippers-paul-george-fined/,NBA News,21996,84859,93866,0.079004329004329,0.079004329004329,James Harden,0.0,0.5639772415161133
292,Kia Rookie Ladder: Rui Hachimura Is Back,2020,http://global.nba.com/news/kia-rookie-ladder-rui-hachimura-is-back/,NBA News,21996,84859,93866,0.0746245619459905,0.0746245619459905,Rui Hachimura,0.1306780400403492,0.6154434680938721
293,Pelicans’ Melli To Replace Ayton In Rising Stars,2020,http://global.nba.com/news/pelicans-melli-to-replace-ayton-in-rising-stars/,NBA News,21996,84859,93866,0.048051948051948,0.048051948051948,Deandre Ayton,0.1481704623085483,0.5792719721794128
294,Booker To Replace Lillard In 3-PT Contest & All-Star Game,2020,http://global.nba.com/news/booker-to-replace-lillard-in-3-pt-contest-all-star-game/,NBA News,21996,84859,93866,-0.0339572192513369,-0.0339572192513369,Damian Lillard,0.1831211599661178,0.553528904914856
295,3 NBA Things To Know For Feb. 13,2020,http://global.nba.com/news/3-nba-things-to-know-for-feb-13/,NBA News,21996,84859,93866,0.0138998682476943,0.0138998682476943,Damian Lillard,0.2077929085246802,0.553528904914856
296,"James, Davis Push West-Leading Lakers Past Nuggets 120-116 In OT",2020,http://global.nba.com/news/james-davis-push-west-leading-lakers-past-nuggets-120-116-in-ot/,Arnie Stapleton | AP Sports Writer,1,91,42,-0.0667989417989417,-0.0667989417989417,LeBron James,0.1874451459251659,0.5739445090293884
297,Mitchell’s 26 Points Propel Jazz Past Heat 116-101,2020,http://global.nba.com/news/mitchells-26-points-propel-jazz-past-heat-116-101/,John Coon | Associated Press,22070,3709,82432,0.0878560556642748,0.0878560556642748,Donovan Mitchell,0.0762673643252643,0.5453328490257263
298,"Booker Scores 27, Suns Top Warriors 112-106",2020,http://global.nba.com/news/booker-scores-27-suns-top-warriors-112-106/,"David Brandt, Associated Press",4,91,42,0.0699032738095237,0.0699032738095237,Damian Lillard,0.1030870745207235,0.553528904914856
299,"Doncic Shines In Return From Injury, Mavs Beat Kings 130-111",2020,http://global.nba.com/news/doncic-shines-in-return-from-injury-mavs-beat-kings-130-111/,"Schuyler Dixon, Associated Press",125037,1963,16174,0.1190689865689865,0.1190689865689865,LeBron James,0.033280644085502,0.5739445090293884
300,"Graham, Hornets Rally To Beat Timberwolves 115-108",2020,http://global.nba.com/news/graham-hornets-rally-to-beat-timberwolves-115-108/,"Joe Ziemer, Associated Press",1325,91,42,0.0660029347529347,0.0660029347529347,Terry Rozier,0.0378550446309732,0.5353115200996399
301,Damian Lillard Says He’ll Miss All-Star Weekend With Strained Groin,2020,http://global.nba.com/news/damian-lillard-says-hell-miss-all-star-weekend-with-strained-groin/,NBA Twitter Reports,21996,84859,93866,0.0457792207792207,0.0457792207792207,Damian Lillard,0.3863189166321071,0.553528904914856
302,Clarke Leads Grizzlies To A Win Over Trail Blazers,2020,http://global.nba.com/news/clarke-leads-grizzlies-to-a-111-104-win-over-trail-blazers/,CLAY BAILEY | Associated Press,13,91,42,0.0150458518936779,0.0150458518936779,Damian Lillard,0.1393566107065554,0.553528904914856
303,"Beal Scores 30, Wizards Rally In 4th To Beat Knicks 114-96",2020,http://global.nba.com/news/beal-scores-30-wizards-rally-in-4th-to-beat-knicks-114-96/,"Jeffrey Bernstein, Associated Press",5303,91,42,0.0406795224977043,0.0406795224977043,Bradley Beal,0.1240987825849672,0.5570634007453918
304,Nets’ 101-91 Victory Snaps Raptors’ 15-Game Win Streak,2020,http://global.nba.com/news/nets-101-91-victory-snaps-raptors-15-game-win-streak/,"Brian Mahoney, Associated Press",52,91,42,0.1015044417388167,0.1015044417388167,Kawhi Leonard,0.0395033484746895,0.5799157023429871
305,"Pacers Pull Away Late To Beat Bucks, Snap 6-Game Skid",2020,http://global.nba.com/news/pacers-pull-away-late-to-beat-bucks-snap-6-game-skid/,Associated Press,21996,84859,93866,0.0793141088302378,0.0793141088302378,T.J. Warren,0.1232146989742649,0.6024386286735535
306,"Gordon, Fultz Lead Magic To 116-112 OT Win Over Pistons",2020,http://global.nba.com/news/gordon-fultz-lead-magic-to-116-112-ot-win-over-pistons/,DICK SCANLON | Associated Press,28023,91,42,0.150448028673835,0.150448028673835,Aaron Gordon,0.1355793896217874,0.5676705837249756
307,"Cavaliers End 12-Game Home Skid, Beat Hawks 127-105",2020,http://global.nba.com/news/cavaliers-end-12-game-home-skid-beat-hawks-127-105/,"Steve Herrick, Associated Press",25045,210,6112,0.0560412698412698,0.0560412698412698,Trae Young,0.0597583610652948,0.549218475818634
308,Giannis Out 2nd Straight Game After Birth Of 1st Child,2020,http://global.nba.com/news/giannis-out-2nd-straight-game-after-birth-of-1st-child/,NBA News,21996,84859,93866,0.0555555555555555,0.0555555555555555,Giannis Antetokounmpo,0.6983422660580876,0.6147996783256531
309,Cavs’ Love Out Wednesday With Sore Achilles,2020,http://global.nba.com/news/cavs-love-out-wednesday-with-sore-achilles/,NBA News,21996,84859,93866,0.075503663003663,0.075503663003663,Kevin Love,0.262491058809424,0.5409587025642395
310,Timberwolves’ Towns Sidelined With Wrist Injury,2020,http://global.nba.com/news/timberwolves-towns-sidelined-with-wrist-injury/,NBA News,21996,84859,93866,-0.1,-0.1,Karl-Anthony Towns,0.8653426593788011,0.6056976914405823
311,The Bond Between Players From Chicago Runs Deep,2020,http://global.nba.com/news/the-bond-between-players-from-chicago-runs-deep/,Michael C. Wright,13,91,42,0.146873443428999,0.146873443428999,Anthony Davis,0.0432366580075963,0.5484086871147156
312,7 NBA Things To Know For Feb. 12,2020,http://global.nba.com/news/7-nba-things-to-know-for-feb-12/,Jeff Case,122,91,42,0.1628518518518518,0.1628518518518518,LeBron James,0.0345479867819525,0.5739445090293884
313,"Harden, Westbrook Help Rockets Beat Celtics 116-105",2020,http://global.nba.com/news/harden-westbrook-help-rockets-beat-celtics-116-105/,Kristie Rieken | AP Sports Writer,13,91,42,0.0196969696969696,0.0196969696969696,James Harden,0.2230780777449511,0.5639772415161133
314,Spurs Stop 5-Game Slide With 114-106 Victory Over Thunder,2020,http://global.nba.com/news/spurs-stop-5-game-slide-with-114-106-victory-over-thunder/,NBA News,21996,84859,93866,0.1986195286195286,0.1986195286195286,DeMar DeRozan,0.0669334891469073,0.569061279296875
315,"Williamson’s 31 Points Push Pelicans Past Blazers, 138-117",2020,http://global.nba.com/news/williamsons-31-points-push-pelicans-past-blazers-138-117/,Brett Martel | AP Sports Writer,13,91,42,0.0271924092678809,0.0271924092678809,Damian Lillard,0.0859589632115484,0.553528904914856
316,"Richardson, Simmons Lead 76ers Past Clippers 110-103",2020,http://global.nba.com/news/richardson-simmons-lead-76ers-past-clippers-110-103/,Rob Maaddi | AP Sports Writer,140178,91,42,0.1341063698206555,0.1341063698206555,Kawhi Leonard,0.1007449761212718,0.5799157023429871
317,Beal And Hachimura Help Wizards Beat Bulls 126-114,2020,http://global.nba.com/news/beal-and-hachimura-help-wizards-beat-bulls-126-114/,Harvey Valentine | Associated Press,9431,203,1419,0.110049077080327,0.110049077080327,Bradley Beal,0.0621671013365232,0.5570634007453918
318,Michael Kidd-Gilchrist Signs With Mavericks,2020,http://global.nba.com/news/michael-kidd-gilchrist-signs-with-mavericks/,NBA News,21996,84859,93866,0.3316666666666666,0.3316666666666666,James Harden,0.0,0.5639772415161133
319,Best Of The Windy City: The All-Chicago NBA Teams,2020,http://global.nba.com/news/best-of-the-windy-city-the-all-chicago-nba-teams-2/,Steve Aschburner,13,91,42,0.1356111973775017,0.1356111973775017,James Harden,0.0162275283794043,0.5639772415161133
320,Cavaliers’ Collin Sexton To Replace Heat’s Tyler Herro In 2020 NBA Rising Stars,2020,http://global.nba.com/news/cavaliers-collin-sexton-to-replace-heats-tyler-herro-in-2020-nba-rising-stars/,NBA News,21996,84859,93866,0.0238961038961038,0.0238961038961038,Trae Young,0.151073213257573,0.549218475818634
