Unnamed: 0,title,time,url,author,credit_article,credit_followers,credit_tweets,textblob_Sentiment,nltk_Sentiment,most_frequent_name,relevance_score
5783,Celtics Seek Different Result Against Knicks This Time,2019,http://global.nba.com/news/celtics-seek-different-result-against-knicks-this-time/,NBA News,Default,Default,Default,0.0988751879006116,0.0988751879006116,Kyrie Irving,0.04290102225554582
5784,Kia Rookie Ladder: Jackson Jr.’s Game Draws Rave Reviews,2019,http://global.nba.com/news/kia-rookie-ladder-jackson-jr-s-game-draws-rave-reviews/,NBA News,Default,Default,Default,0.1338279287584843,0.1338279287584843,Trae Young,0.046805999434957814
5785,Westbrook Passes Kidd On Career Triple-Doubles List,2019,http://global.nba.com/news/westbrook-passes-kidd-on-career-triple-doubles-list/,NBA News,Default,Default,Default,0.325,0.325,Russell Westbrook,0.44838735171574856
5786,About Last Night: Thunder Stars Shine In Comeback,2019,http://global.nba.com/news/about-last-night-thunder-stars-shine-in-comeback/,NBA News,Default,Default,Default,0.0929140371007841,0.0929140371007841,Stephen Curry,0.04374459623046232
5787,"LeBron Scores 42 As Lakers Surge Past Spurs Late, 121-113",2019,http://global.nba.com/news/lebron-scores-42-as-lakers-surge-past-spurs-late-121-113/,NBA News,Default,Default,Default,0.041860465116279,0.041860465116279,LaMarcus Aldridge,0.07041683967847373
5788,Westbrook Passes Kidd For Third On NBA’s Career Triple-Doubles List,2019,http://global.nba.com/news/westbrook-passes-kidd-for-third-on-nbas-career-triple-doubles-list/,NBA News,Default,Default,Default,0.325,0.325,Russell Westbrook,0.44838735171574856
5789,"Randle, Davis Push Pelicans Past Mavericks 132-106",2019,http://global.nba.com/news/randle-davis-push-pelicans-past-mavericks-132-106/,NBA News,Default,Default,Default,0.1157024793388429,0.1157024793388429,Julius Randle,0.10971306799941481
5790,"Towns Has 35 points, Timberwolves Beat Hornets 121-104",2019,http://global.nba.com/news/towns-has-35-points-timberwolves-beat-hornets-121-104/,NBA News,Default,Default,Default,-0.0075194805194805,-0.0075194805194805,Kemba Walker,0.07571447756398053
5791,"Bledsoe Scores 27, Leads Bucks To 115-92 Win Over Pistons",2019,http://global.nba.com/news/bledsoe-scores-27-leads-bucks-to-115-92-win-over-pistons/,,8,8884,82533,0.0477289377289377,0.0477289377289377,Giannis Antetokounmpo,0.13364902286417615
5792,"Conley, Green Lead Grizzlies Past Clippers 96-86",2019,http://global.nba.com/news/conley-green-lead-grizzlies-past-clippers-96-86/,NBA News,Default,Default,Default,0.0386917960088691,0.0386917960088691,Mike Conley,0.14171450071465896
5793,Leonard Scores 36 Points As Raptors Beat 76ers 113-102,2019,http://global.nba.com/news/leonard-scores-36-points-as-raptors-beat-76ers-113-102/,NBA News,Default,Default,Default,0.1925396825396825,0.1925396825396825,Joel Embiid,0.0883792281107814
5794,"George Scores 25 Of 47 In 4th, Rallies Thunder Past Nets",2019,http://global.nba.com/news/george-scores-25-of-47-in-4th-rallies-thunder-past-nets/,NBA News,Default,Default,Default,0.0208249158249158,0.0208249158249158,Paul George,0.1926470175639652
