Unnamed: 0,title,time,url,author
59,Kings Name Alvin Gentry Associate Head Coach,"October 7, 2020",http://global.nba.com/news/kings-name-alvin-gentry-associate-head-coach/,Official Release
60,24 Thoughts On Game 4 Of The Finals,"October 7, 2020",http://global.nba.com/news/24-thoughts-on-game-4-of-the-finals/,Sekou Smith
61,Kentavious Caldwell-Pope Steps Up To Support Lakers’ Superstars In Game 4,"October 7, 2020",http://global.nba.com/news/kentavious-caldwell-pope-steps-up-to-support-lakers-superstars-in-game-4/,Shaun Powell
62,"Inside The Box Score: 2020 NBA Finals, Game 4","October 7, 2020",http://global.nba.com/news/inside-the-box-score-2020-nba-finals-game-4/,Brian Martin
63,"Lakers Top Heat 102-96, Take 3-1 Lead In NBA Finals","October 7, 2020",http://global.nba.com/news/lakers-top-heat-102-96-take-3-1-lead-in-nba-finals/,By TIM REYNOLDS | AP Basketball Writer
64,"Adebayo Plays, Dragic Sits In Game 4","October 6, 2020",http://global.nba.com/news/goran-dragic-bam-adebayo-unsure-of-status-for-game-4/,NBA.com Staff
65,"Milwaukee Scraps Early Voting Plans At Fiserv, Miller Park","October 6, 2020",http://global.nba.com/news/milwaukee-scraps-early-voting-plans-at-fiserv-miller-park/,Todd Richmond | The Associated Press
66,NBA 2K League Announces New Tryout Process For Season 4,"October 6, 2020",http://global.nba.com/news/nba-2k-league-announces-new-tryout-process-for-season-4/,Official Release
67,New Orleans’ Jrue Holiday Wins 2019-20 Twyman-Stokes Teammate Of The Year Award,"October 6, 2020",http://global.nba.com/news/new-orleans-jrue-holiday-wins-2019-20-twyman-stokes-teammate-of-the-year-award/,Official Release
68,Butler Confident Heat Will Level NBA Finals In Game 4,"October 6, 2020",http://global.nba.com/news/butler-confident-heat-will-level-nba-finals-in-game-4/,Field Level Media
69,Miami Heat’s Jimmy Butler Ready To Do The Extraordinary Again In Game 4,"October 5, 2020",http://global.nba.com/news/miami-heats-jimmy-butler-ready-to-do-the-extraordinary-again-in-game-4/,"Michael C. Wright, NBA.com"
70,Isaiah Thomas Says Right Hip Is Pain Free After Resurfacing Surgery,"October 5, 2020",http://global.nba.com/news/isaiah-thomas-says-right-hip-is-pain-free-after-resurfacing-surgery/,From NBA Twitter and media reports
71,"Barnes, Brown, Hill, Paul And Powell Named Recipients Of 2019-20 End-Of-Season NBA Cares Community Assist Award","October 5, 2020",http://global.nba.com/news/barnes-brown-hill-paul-and-powell-named-recipients-of-2019-20-end-of-season-nba-cares-community-assist-award/,Official Release
72,5 Things We Learned From Game 3 Of 2020 Finals,"October 5, 2020",http://global.nba.com/news/5-things-we-learned-from-game-3-of-2020-finals/,Steve Aschburner
73,"Jimmy Butler Has A Capital-G ‘Game’, Gives Heat New Life","October 5, 2020",http://global.nba.com/news/jimmy-butler-has-a-capital-g-game-gives-heat-new-life/,Shaun Powell
74,"Inside The Box Score: 2020 NBA Finals, Game 3","October 5, 2020",http://global.nba.com/news/inside-the-box-score-2020-nba-finals-game-3/,Brian Martin
