title,date,url
NBA All-Star Game: LeBron James calls plans to play game in pandemic 'a slap in the face',4 February 2021,https://www.bbc.co.uk/sport/basketball/55944277
NBA: Fans ejected after argument with LeBron James during LA Lakers win over Atlanta Hawks,2 February 2021,https://www.bbc.co.uk/sport/basketball/55899796
Advent calendar: Day 21 - LeBron James steers LA Lakers to first NBA title in a decade,21 December 2020,https://www.bbc.co.uk/sport/av/basketball/55238466
NBA: LeBron James shoots season-high 46 in LA Lakers win over Cleveland,26 January 2021,https://www.bbc.co.uk/sport/basketball/55807721
NBA: LeBron James and Anthony Davis shine as Lakers top Western Conference,6 January 2021,https://www.bbc.co.uk/sport/basketball/55556627
NBA: LeBron James ties Christmas Day wins record in Los Angeles Lakers victory,26 December 2020,https://www.bbc.co.uk/sport/basketball/55451518
"David Beckham, LeBron James & Justin Bieber - Meet âthe GOATâ of hat making",16 January 2020,https://www.bbc.co.uk/sport/av/50866497
"LeBron James is on basketball's Mount Rushmore, says Ovie Soko",12 October 2020,https://www.bbc.co.uk/sport/av/basketball/54485728
LeBron James: I don't live my life thinking about legacy,9 October 2020,https://www.bbc.co.uk/sport/av/54477395
NBA Finals: Anthony Davis and LeBron James lead Los Angeles Lakers to victory in game one,1 October 2020,https://www.bbc.co.uk/sport/av/basketball/54368437
NBA play-offs: LeBron James leads LA Lakers to first NBA Western Conference Finals in 10 years,27 September 2020,https://www.bbc.co.uk/sport/av/basketball/54318025
NBA Finals: LeBron James and Anthony Davis star as Lakers double their lead over Miami Heat 124-114,3 October 2020,https://www.bbc.co.uk/sport/av/basketball/54399399
NBA play-offs: LeBron James helps Lakers beat Rockets,9 September 2020,https://www.bbc.co.uk/sport/av/basketball/54086648
NBA Finals: LeBron James says Los Angeles Lakers success over Miami Heat will not define him,9 October 2020,https://www.bbc.co.uk/sport/basketball/54476874
NBA play-offs: LeBron James stars as Lakers edge closer to Western Conference final,11 September 2020,https://www.bbc.co.uk/sport/av/basketball/54117642
NBA: LeBron James leads LA Lakers to NBA Western Conference Finals series victory,27 September 2020,https://www.bbc.co.uk/sport/basketball/54314421
