title,date,url,player,textblob_sentiment
BBL Cup final: Leicester overcome Newcastle in tense finish,2014,https://www.bbc.co.uk/sport/basketball/25706951,J.R. Smith,0.1090130568356375
'Unpopular' Torbay CCTV car to be scrapped,2014,https://www.bbc.co.uk/news/uk-england-devon-25795526,Eric Gordon,0.0
"Alan and Gary Mitchell jailed for Â£400,000 Rolex raid",2014,https://www.bbc.co.uk/news/uk-scotland-glasgow-west-25198798,Eric Gordon,0.0
World Twenty20 qualifiers: Scotland suffer defeat by Kenya,2014,https://www.bbc.co.uk/sport/cricket/24999016,Eric Gordon,0.18007346189164372
Black Sabbath pick up Classic Rock's legend award,2014,https://www.bbc.co.uk/news/entertainment-arts-24946622,Eric Gordon,0.0
Premiership: Harlequins 23-9 London Irish,2014,https://www.bbc.co.uk/sport/rugby-union/26731104,Evan Turner,0.12252525252525254
Wales Women announce squad for World Cup qualifiers,2014,https://www.bbc.co.uk/sport/football/26721212,Evan Turner,-0.16
Barbarians confirm squad to face Combined Services,2014,https://www.bbc.co.uk/sport/rugby-union/24873421,Evan Turner,-0.08
Glasgow 2014: The Jamaican university that changed athletics,2014,https://www.bbc.co.uk/sport/commonwealth-games/26986280,José Calderón,0.15889371451059764
Cristiano Ronaldo scores twice as Real Madrid reach cup final,2014,https://www.bbc.co.uk/sport/football/26143037,José Calderón,0.07721454173067076
Champions League: Chelsea drawn against Atletico Madrid,2014,https://www.bbc.co.uk/sport/football/26966141,José Calderón,0.14368686868686867
Atletico Madrid v Real Madrid: La Liga rivals set for 'do or die' derby,2014,https://www.bbc.co.uk/sport/football/26357670,José Calderón,0.16174391906436106
"Champions League draw: Man Utd v Bayern Munich, PSG v Chelsea",2014,https://www.bbc.co.uk/sport/football/26682665,José Calderón,0.09990079365079366
Atletico Madrid: Diego Simeone's side are stern test for Chelsea,2014,https://www.bbc.co.uk/sport/football/26966304,José Calderón,0.10060898096612383
The country where exorcisms are on the rise,2014,http://www.bbc.co.uk/news/magazine-25032305,José Calderón,0.0
World Cup 2014: Belgium legends rule out glory in Brazil,2014,https://www.bbc.co.uk/sport/football/25210495,José Calderón,0.2126138433515483
