title,date,url,player,textblob_sentiment,relevance_score
Question Time,2012,http://news.bbc.co.uk/democracylive/hi/northern_ireland/newsid_9681000/9681783.stm,Ryan Anderson,0.0,0.0
Alloa Athletic 1-0 Clyde,2012,https://www.bbc.co.uk/sport/football/17162199,Ryan Anderson,0.1086805555555555,0.05117868656740396
Worcestershire set to lose Gareth Andrew to injury,2012,https://www.bbc.co.uk/sport/cricket/16414383,Marcus Thornton,0.0549999999999999,0.017275735330562703
AFC Wimbledon boss Terry Brown says Jason Prior has suffered broken leg,2012,https://www.bbc.co.uk/sport/av/football/17706601,Jason Terry,-0.2,0.4243509049440167
Calls for John Terry to step down as England captain,2012,https://www.bbc.co.uk/newsround/16849460,Jason Terry,-0.1555555555555555,0.346970637829756
Ex-Wimbledon striker Jason Euell joins AFC Wimbledon on loan,2012,https://www.bbc.co.uk/sport/football/16494258,Jason Terry,0.2987179487179487,0.05534096018233525
Crawley Town 1-1 AFC Wimbledon,2012,https://www.bbc.co.uk/sport/football/17643359,Jason Terry,-0.0330578512396694,0.04448684649874141
John Terry's role as England captain debated by FA bosses,2012,https://www.bbc.co.uk/sport/football/16846990,Jason Terry,0.0840110286538858,0.07658060952833079
AFC Wimbledon sign Byron Harrison from Stevenage,2012,https://www.bbc.co.uk/sport/football/16497505,Jason Terry,0.2,0.054996898478299125
"Pakistan v England, third one-day international, as it happened",2012,https://www.bbc.co.uk/sport/cricket/17080332,Kevin Garnett,0.1266573336489382,0.002576866196270987
Linfield and Portadown wait for news of injured strikers,2012,https://www.bbc.co.uk/sport/football/17074135,Wesley Matthews,0.0925407925407925,0.011746238750253823
Friday's gossip column,2012,http://news.bbc.co.uk/sport1/hi/football/gossip_and_transfers/9672259.stm,Wesley Matthews,0.1533170995670995,0.01251479464012179
Blaenau Gwent web TV channel backed by Sir Terry Matthews,2012,https://www.bbc.co.uk/news/uk-wales-south-east-wales-16142500,Wesley Matthews,0.0,0.22748364599368692
London 2012: LeBron James and Kobe Bryant in US Olympic squad,2012,https://www.bbc.co.uk/sport/basketball/16586122,Derrick Rose,0.2387205387205387,0.030002211174910295
Great Britain's Luol Deng to make NBA history,2012,https://www.bbc.co.uk/sport/basketball/16982141,Derrick Rose,0.0590402703536184,0.026576951710163256
NBA big names back Luol Deng to star for Great Britain,2012,https://www.bbc.co.uk/sport/basketball/17176959,Derrick Rose,0.2623327430145613,0.01171898977858912
NFL highlights - Brandon Marshall stars in Pro Bowl,2012,https://www.bbc.co.uk/sport/av/american-football/16785493,Brandon Knight,0.0,0.295272774156973
UEA chancellor Sir Brandon Gough dies,2012,https://www.bbc.co.uk/news/uk-england-norfolk-17862969,Brandon Knight,0.0,0.346970637829756
Panthers forward David Clarke passes goalscoring record,2012,https://www.bbc.co.uk/sport/ice-hockey/16366040,Brandon Knight,0.2848214285714285,0.012104986857726874
London 2012: Luol Deng's journey to the Olympics,2012,https://www.bbc.co.uk/sport/olympics/17480700,Luol Deng,0.1522638146167558,0.09416402611311397
Latest news Luol Deng,2012,http://news.bbc.co.uk/sport1/hi/olympic_games/world_olympic_dreams/8978032.stm,Luol Deng,0.1324357707509881,0.14503663302211736
Luol Deng 'honoured' by All-Star call-up,2012,https://www.bbc.co.uk/sport/av/basketball/17168611,Luol Deng,0.0,1.0
Britain's Luol Deng explains All-Star T-shirt gesture,2012,https://www.bbc.co.uk/sport/av/basketball/17178117,Luol Deng,0.0,0.6886198239342627
London 2012: Luol Deng wrist injury worry for GB Olympic team,2012,https://www.bbc.co.uk/sport/basketball/16712536,Luol Deng,0.2092908346134152,0.04918670042177464
LeBron James says Great Britain's Luol Deng is a 'great player',2012,https://www.bbc.co.uk/sport/av/basketball/17164521,Luol Deng,0.8,0.5251107470605405
Great Britain's Luol Deng to make NBA history,2012,https://www.bbc.co.uk/sport/basketball/16982141,Luol Deng,0.0590402703536184,0.03993465367906
Injured Luol Deng risks fine for Africa T-shirt in NBA All-Star Game,2012,https://www.bbc.co.uk/sport/basketball/17176233,Luol Deng,0.2469977553310886,0.040066017522079056
NBA big names back Luol Deng to star for Great Britain,2012,https://www.bbc.co.uk/sport/basketball/17176959,Luol Deng,0.2623327430145613,0.04709193378121181
NBA superstar Deng returns to his Sudan roots,2012,http://www.bbc.co.uk/sport/0/olympics/17314096,Luol Deng,0.1434045459012292,0.075824733081011
Hoops star given hero's welcome home,2012,https://www.bbc.co.uk/sport/av/olympics/17314104,Luol Deng,0.8,0.0
London 2012: Great Britain announce men's basketball squad,2012,https://www.bbc.co.uk/sport/olympics/17668619,Luol Deng,0.2333333333333333,0.06521409253527774
Drexler talks up GB Olympic chances,2012,https://www.bbc.co.uk/sport/av/olympics/17289812,Luol Deng,0.0,0.0
World Olympic Dreams: November 2011,2012,http://news.bbc.co.uk/sport1/hi/olympic_games/world_olympic_dreams/9677418.stm,Luol Deng,0.0,0.0
World Olympic Dreams: November 2011,2012,https://www.bbc.co.uk/sport/av/olympics/17382531,Luol Deng,0.0,0.0
World's newest nation South Sudan rejoices in basketball,2012,https://www.bbc.co.uk/news/world-africa-17064104,Luol Deng,0.0,0.0
NBA star Byron Mullens confirms GB eligibility for London 2012,2012,https://www.bbc.co.uk/sport/basketball/17240669,Luol Deng,0.3103030303030302,0.06692446176426776
World Olympic Dreams: May 2011,2012,https://www.bbc.co.uk/sport/av/olympics/17382528,Luol Deng,0.0,0.0
GB captain Drew Sullivan on discovering basketball by chance,2012,https://www.bbc.co.uk/sport/olympics/17693107,Luol Deng,0.1874103174603174,0.031453005227743414
More acts for Stendhal Festival!,2012,http://www.bbc.co.uk/blogs/acrosstheline/2012/04/more_acts_for_stendhal_festiva.html,Steve Nash,0.625,0.0
Worcestershire set to lose Gareth Andrew to injury,2012,https://www.bbc.co.uk/sport/cricket/16414383,Steve Nash,0.0549999999999999,0.017275735330562703
Catalan Dragons 28-20 Castleford,2012,https://www.bbc.co.uk/sport/rugby-league/17031551,Steve Nash,0.0229032258064516,0.037412481970302086
London 2012: LeBron James and Kobe Bryant in US Olympic squad,2012,https://www.bbc.co.uk/sport/basketball/16586122,Andre Iguodala,0.2387205387205387,0.030002211174910295
NFL highlights - Brandon Marshall stars in Pro Bowl,2012,https://www.bbc.co.uk/sport/av/american-football/16785493,Brandon Bass,0.0,0.295272774156973
Results from 2011,2012,http://news.bbc.co.uk/sport1/hi/boxing/statistics/9353537.stm,Brandon Bass,0.0379406307977736,0.003890909844487765
London 2012: LeBron James and Kobe Bryant in US Olympic squad,2012,https://www.bbc.co.uk/sport/basketball/16586122,Tyson Chandler,0.2387205387205387,0.030002211174910295
Sunderland boss O'Neill confirms bid for Davies rejected,2012,https://www.bbc.co.uk/sport/football/16783028,Kevin Martin,0.1308928571428571,0.06609111043398673
PC Debra Martin 'coerced to change Hillsborough notes',2012,https://www.bbc.co.uk/news/uk-england-south-yorkshire-17126678,Kevin Martin,0.0,0.295272774156973
Broadway director Theodore Mann dies aged 87,2012,https://www.bbc.co.uk/news/entertainment-arts-17189590,Kevin Martin,-0.1,0.0
Crewe's Nick Powell wins Football League Young Player of the Month award,2012,https://www.bbc.co.uk/sport/av/football/16623553,Nick Young,0.2,0.46938435110152205
Crewe Alexandra's Nick Powell wins League's young player award,2012,https://www.bbc.co.uk/sport/football/16561789,Nick Young,0.196668729905572,0.02458282747235312
Meet the Author: Moira Young,2012,https://www.bbc.co.uk/news/entertainment-arts-16604528,Nick Young,0.1,0.5339407943030507
Producing players a joint effort - academy boss Nick Cox,2012,https://www.bbc.co.uk/sport/av/football/17444138,Nick Young,0.0,0.2569828877798966
Deputy PM Nick Clegg makes youth jobs pledge,2012,https://www.bbc.co.uk/news/business-17584148,Nick Young,0.0,0.2569828877798966
Met officers were 'rude and aggressive',2012,http://news.bbc.co.uk/today/hi/today/newsid_9711000/9711645.stm,Nick Young,-0.3,0.0
Nick Clegg urges bosses to back Â£1bn youth jobs plan,2012,http://www.bbc.co.uk/news/uk-politics-17010683,Nick Young,0.0,0.22748364599368698
Are you singing The People's Passion?,2012,http://www.bbc.co.uk/blogs/radio4/2012/03/are_you_singing_the_peoples_pa.html,Nick Young,0.0,0.0
Who's Angry Now?,2012,https://www.bbc.co.uk/programmes/b01fjx67,Nick Young,-0.5,0.0
PMQs: Harriet Harman and Nick Clegg on unemployment,2012,https://www.bbc.co.uk/news/uk-politics-17368276,Nick Young,0.0,0.346970637829756
Northampton's Jim Mallinder hails Dowson and Dickson,2012,https://www.bbc.co.uk/sport/rugby-union/16947907,Courtney Lee,0.2271666666666666,0.03993465367905994
Welsh Premier & non-league round-up,2012,https://www.bbc.co.uk/sport/football/17794862,Courtney Lee,0.079040404040404,0.047008517030635424
Six Nations: Manu Tuilagi set for England recall says Lancaster,2012,https://www.bbc.co.uk/sport/rugby-union/17049773,Courtney Lee,0.1089304373787132,0.03417488320704611
St Michael's Enniskillen lose Hogan Cup final at Croke Park,2012,https://www.bbc.co.uk/sport/northern-ireland/17627856,Courtney Lee,0.0897727272727272,0.031055489356978428
Six Nations: Manu Tuilagi returns as England make four changes,2012,https://www.bbc.co.uk/sport/rugby-union/17113046,Courtney Lee,0.1488776524022425,0.030177669351993164
England coach Lancaster cuts Toby Flood from Italy squad,2012,https://www.bbc.co.uk/sport/rugby-union/16899092,Courtney Lee,0.1184523809523809,0.032781778734931016
Six Nations: Toby Flood released by England ahead of France clash,2012,https://www.bbc.co.uk/sport/rugby-union/17277936,Courtney Lee,0.0272727272727272,0.012031494804941024
England draft in Quins scrum-half Karl Dickson,2012,https://www.bbc.co.uk/sport/rugby-union/17263511,Courtney Lee,0.1749074074074073,0.01736175163295452
Six Nations: Jim Mallinder welcomes exodus of players to England,2012,https://www.bbc.co.uk/sport/rugby-union/16513472,Courtney Lee,0.1242592592592592,0.022633037561728214
Six Nations: England name unchanged side to face Italy,2012,https://www.bbc.co.uk/sport/rugby-union/16962216,Courtney Lee,0.0795454545454545,0.018320608104700042
Martin Allen looks to improve Notts County squad,2012,https://www.bbc.co.uk/sport/football/16356849,Ray Allen,0.4260276679841897,0.03993465367906001
Soutik Biswas,2012,https://www.bbc.co.uk/news/correspondents/soutikbiswas,Ray Allen,0.0,0.0
BBC pound-for-pound British rankings,2012,http://news.bbc.co.uk/sport1/hi/boxing/4184227.stm,Darren Collison,0.1045454545454545,0.026209481760764763
Mexico ex-President Miguel de la Madrid dies at 77,2012,https://www.bbc.co.uk/news/world-latin-america-17579644,José Calderón,0.0,0.0
Race to Mexico's presidential palace begins,2012,https://www.bbc.co.uk/news/world-latin-america-17565234,José Calderón,0.0,0.0
Sportsday Live - breaking sports news,2012,http://news.bbc.co.uk/sport1/hi/front_page/9681499.stm,José Calderón,0.156060606060606,0.0
Results from 2011,2012,http://news.bbc.co.uk/sport1/hi/boxing/statistics/9353537.stm,José Calderón,0.0379406307977736,0.0
London 2012: LeBron James and Kobe Bryant in US Olympic squad,2012,https://www.bbc.co.uk/sport/basketball/16586122,Chauncey Billups,0.2387205387205387,0.030002211174910295
London 2012: Great Britain announce men's basketball squad,2012,https://www.bbc.co.uk/sport/olympics/17668619,Eric Gordon,0.2333333333333333,0.0520826585768792
London 2012: LeBron James and Kobe Bryant in US Olympic squad,2012,https://www.bbc.co.uk/sport/basketball/16586122,Eric Gordon,0.2387205387205387,0.030002211174910295
"Oldest woman in Scotland Janet Roberts dies, aged 110",2012,https://www.bbc.co.uk/news/uk-scotland-north-east-orkney-shetland-17675827,Eric Gordon,-0.1,0.0
Worcestershire set to lose Gareth Andrew to injury,2012,https://www.bbc.co.uk/sport/cricket/16414383,Andrew Bogut,0.0549999999999999,0.017275735330562706
