title,date,url,player,textblob_sentiment,sentiment_bert_average_score,sentiment_xlnet_average_score,bert_relevance,relevance_score
Blaenau Gwent web TV channel backed by Sir Terry Matthews,2012,https://www.bbc.co.uk/news/uk-wales-south-east-wales-16142500,Wesley Matthews,0.0,0.5481644868850708,0.6869316697120667,0.571195125579834,0.2274836459936869
London 2012: LeBron James and Kobe Bryant in US Olympic squad,2012,https://www.bbc.co.uk/sport/basketball/16586122,Derrick Rose,0.2387205387205387,0.5622703433036804,0.6177651435136795,0.5896608829498291,0.0300022111749102
Great Britain's Luol Deng to make NBA history,2012,https://www.bbc.co.uk/sport/basketball/16982141,Derrick Rose,0.0590402703536184,0.5559654037157694,0.5690151453018188,0.5896608829498291,0.0265769517101632
NBA big names back Luol Deng to star for Great Britain,2012,https://www.bbc.co.uk/sport/basketball/17176959,Derrick Rose,0.2623327430145613,0.5634580751260122,0.5742992560068766,0.5896608829498291,0.0117189897785891
NFL highlights - Brandon Marshall stars in Pro Bowl,2012,https://www.bbc.co.uk/sport/av/american-football/16785493,Brandon Knight,0.0,0.5418964624404907,0.5237256288528442,0.5680654048919678,0.295272774156973
UEA chancellor Sir Brandon Gough dies,2012,https://www.bbc.co.uk/news/uk-england-norfolk-17862969,Brandon Knight,0.0,0.5334526300430298,0.5283054709434509,0.5680654048919678,0.346970637829756
Panthers forward David Clarke passes goalscoring record,2012,https://www.bbc.co.uk/sport/ice-hockey/16366040,Brandon Knight,0.2848214285714285,0.5546717047691345,0.5837377309799194,0.5680654048919678,0.0121049868577268
London 2012: Luol Deng's journey to the Olympics,2012,https://www.bbc.co.uk/sport/olympics/17480700,Luol Deng,0.1522638146167558,0.5708475708961487,0.6119782626628876,0.5595824718475342,0.0941640261131139
Latest news Luol Deng,2012,http://news.bbc.co.uk/sport1/hi/olympic_games/world_olympic_dreams/8978032.stm,Luol Deng,0.1324357707509881,0.5801466703414917,0.56641526222229,0.5595824718475342,0.1450366330221173
Luol Deng 'honoured' by All-Star call-up,2012,https://www.bbc.co.uk/sport/av/basketball/17168611,Luol Deng,0.0,0.7322427034378052,0.6382095217704773,0.5595824718475342,1.0
Britain's Luol Deng explains All-Star T-shirt gesture,2012,https://www.bbc.co.uk/sport/av/basketball/17178117,Luol Deng,0.0,0.5843114852905273,0.6463167071342468,0.5595824718475342,0.6886198239342627
London 2012: Luol Deng wrist injury worry for GB Olympic team,2012,https://www.bbc.co.uk/sport/basketball/16712536,Luol Deng,0.2092908346134152,0.5141433676083883,0.5985487699508667,0.5595824718475342,0.0491867004217746
