Unnamed: 0,title,time,url,author,credit_article,credit_followers,credit_tweets
5380,Nuggets gear up for showdown with Blazers,2016-17,http://global.nba.com/news/nuggets-gear-showdown-blazers/,NBA News,Default,Default,Default
5381,Jazz regroup after team issue,2016-17,http://global.nba.com/news/748148/,NBA News,Default,Default,Default
5382,Silver wants NBA female head coach ‘sooner rather than later’,2016-17,http://global.nba.com/news/silver-wants-nba-female-head-coach-sooner-rather-later/,NBA News,Default,Default,Default
5383,"Gobert Stays Hot, Leads Jazz Past Davis, Pelicans",2016-17,http://global.nba.com/news/gobert-stays-hot-leads-jazz-past-davis-pelicans/,NBA News,Default,Default,Default
5384,"Westbrook’s Game-Winner Caps Off His 37th Triple-Double, NBA’s 100th Of Season",2016-17,http://global.nba.com/news/westbrooks-game-winner-caps-off-37th-triple-double-nbas-100th-season/,NBA News,Default,Default,Default
5385,"Spurs Make Statement, Dominate Cavs In Rout",2016-17,http://global.nba.com/news/spurs-make-statement-dominate-cavs-rout/,NBA News,Default,Default,Default
5386,DeRozan’s 36 Points Lead Raptors Past Magic,2016-17,http://global.nba.com/news/derozans-36-points-lead-raptors-past-magic/,NBA News,Default,Default,Default
5387,Knicks’ ‘Big 3’ Combines For 73 In Win Over Pistons,2016-17,http://global.nba.com/news/knicks-big-3-combines-73-win-pistons/,NBA News,Default,Default,Default
5388,Hawks’ Millsap Out Next Three Games,2016-17,http://global.nba.com/news/paul-millsap-injury-update/,NBA News,Default,Default,Default
5389,"DeRozan, Harden named NBA Eastern, Western Conference Players of the Week",2016-17,http://global.nba.com/news/derozan-harden-named-nba-eastern-western-conference-players-week/,NBA News,Default,Default,Default
5390,Left foot injury sidelines Cavaliers’ Kyle Korver against Spurs,2016-17,http://global.nba.com/news/left-foot-injury-sidelines-cleveland-cavaliers-kyle-korver-san-antonio-spurs/,NBA News,Default,Default,Default
5391,Power Rankings: Top two teams face off again this week,2016-17,http://global.nba.com/news/power-rankings-top-two-teams-face-off-week/,NBA News,Default,Default,Default
5392,James Harden at ease being surrounded by capable supporting cast with the Houston Rockets,2016-17,http://global.nba.com/news/james-harden-ease-surrounded-capable-supporting-cast-houston-rockets/,NBA News,Default,Default,Default
5393,Celtics catch Cavaliers but prioritize improvement over standing,2016-17,http://global.nba.com/news/celtics-catch-cavaliers-prioritize-improvement-standing/,NBA News,Default,Default,Default
5394,Kyrie Irving’s new defensive responsibility,2016-17,http://global.nba.com/news/kyrie-irvings-new-defensive-responsibility/,NBA News,Default,Default,Default
5395,Beverley: Resting players ‘a disgrace’,2016-17,http://global.nba.com/news/beverley-resting-players-disgrace/,NBA News,Default,Default,Default
5396,Clippers’ weekend ends with stunning loss,2016-17,http://global.nba.com/news/clippers-weekend-ends-stunning-loss/,NBA News,Default,Default,Default
5397,"Blazers Best Lakers, Catch Nuggets For 8th Seed",2016-17,http://global.nba.com/news/blazers-best-lakers-catch-nuggets-8th-seed/,NBA News,Default,Default,Default
5398,"Klay, Steph Lead Warriors Past Grizzlies",2016-17,http://global.nba.com/news/klay-steph-lead-warriors-past-grizzlies/,NBA News,Default,Default,Default
