Unnamed: 0,title,time,url,author,credit_article,credit_followers,credit_tweets,textblob_Sentiment,nltk_Sentiment,most_frequent_name,relevance_score
2135,Playoff Breakdown: Next week critical for seeds No. 4-8 in East,2018,http://global.nba.com/news/playoff-race-breakdown-next-week-critical-seeds-no-4-8-eastern-conference/,NBA News,Default,Default,Default,0.1874733131660843,0.1874733131660843,LeBron James,0.015780001207786904
2136,Report: Derrick Rose only getting interest in form of 10-day contracts,2018,http://global.nba.com/news/report-derrick-rose-getting-interest-form-10-day-contracts/,NBA News,Default,Default,Default,0.3885304659498207,0.3885304659498207,Blake Griffin,0.06882739936350958
2137,"In lieu of White House, Warriors take kids to African American museum",2018,http://global.nba.com/news/lieu-white-house-golden-state-warriors-take-kids-african-american-museum/,NBA News,Default,Default,Default,0.076031746031746,0.076031746031746,Kevin Durant,0.11809780869711091
2138,"LaMarcus Aldridge exits with right ankle sprain, does not return",2018,http://global.nba.com/news/lamarcus-aldridge-exits-right-ankle-sprain-not-return/,NBA News,Default,Default,Default,0.008531746031746,0.008531746031746,LaMarcus Aldridge,0.5848435013390033
2139,Houston Rockets piling up highlights during 14-game win streak,2018,http://global.nba.com/news/houston-rockets-rolling-piling-highlights-14-game-win-streak/,NBA News,Default,Default,Default,0.2723502304147465,0.2723502304147465,James Harden,0.511325119727374
2140,PRO•LINE Where to Watch: April 1,2018,http://global.nba.com/news/pro%e2%80%a2line-where-to-watch-april-1/,NBA News,Default,Default,Default,-0.0361111111111111,-0.0361111111111111,James Harden,0.1779327739559924
2141,PRO•LINE Where to Watch: March 31,2018,http://global.nba.com/news/pro%e2%80%a2line-where-to-watch-march-31/,NBA News,Default,Default,Default,-0.0361111111111111,-0.0361111111111111,Bradley Beal,0.17604835233292035
2142,Jordan Clarkson explains differences in leadership between Kobe and LeBron,2018,http://global.nba.com/news/jordan-clarkson-explains-differences-kobe-bryants-lebron-james-leadership/,NBA News,Default,Default,Default,0.1088235294117646,0.1088235294117646,LeBron James,0.3614135675831973
2143,"Rockets start fast, beat Clippers 105-92 for 14th straight",2018,http://global.nba.com/news/rockets-start-fast-beat-clippers-105-92-14th-straight/,NBA News,Default,Default,Default,0.0848913239538239,0.0848913239538239,James Harden,0.14217060912201787
2144,Philadelphia 76ers sign forward Ersan Ilyasova,2018,http://global.nba.com/news/philadelphia-76ers-sign-forward-ersan-ilyasova-2/,NBA News,Default,Default,Default,-0.0144791666666666,-0.0144791666666666,LeBron James,0.0
2145,"Westbrook scores 30, Thunder beat Mavericks 111-110 in OT",2018,http://global.nba.com/news/westbrook-scores-30-thunder-beat-mavericks-111-110-ot/,NBA News,Default,Default,Default,-0.0161274509803921,-0.0161274509803921,Russell Westbrook,0.11509949645344332
2146,"Booker, Jackson help Suns end skid with win over Grizzlies",2018,http://global.nba.com/news/booker-jackson-help-suns-end-skid-win-grizzlies/,NBA News,Default,Default,Default,0.0025345622119815,0.0025345622119815,Devin Booker,0.13578342497394275
2147,"Durant, Curry, Warriors beat Wiz 109-101 In D.C.",2018,http://global.nba.com/news/durant-curry-warriors-beat-wiz-109-101-d-c/,NBA News,Default,Default,Default,0.1406190476190476,0.1406190476190476,Bradley Beal,0.09422249321339442
2148,Irving scores 34 for Boston in 134-106 win over Hornets,2018,http://global.nba.com/news/irving-scores-34-boston-134-106-win-hornets/,NBA News,Default,Default,Default,0.1277777777777777,0.1277777777777777,Kemba Walker,0.09928752224458019
2149,Schroder helps Hawks hold off late Pacers’ comeback attempt,2018,http://global.nba.com/news/schroder-helps-hawks-hold-off-late-pacers-comeback-attempt/,NBA News,Default,Default,Default,0.0259920634920634,0.0259920634920634,Victor Oladipo,0.08477251942146688
