,name,age,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,games_played,is_combined_totals,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,positions,slug,steal_percentage,team,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes
358,Garrison Mathews,23,5.8,0.4,-1.1,-0.5,9.0,0.1,0.607,18,False,227,-0.6,2.8,0.6,13.1,['SHOOTING GUARD'],mathega01,1.6,WASHINGTON WIZARDS,0.821,5.8,0.691,10.1,14.5,0.1,0.6,0.131
471,Glenn Robinson III,26,8.8,0.8,-1.7,-1.1,11.9,0.6,0.146,48,False,1516,-0.6,4.6,1.5,13.1,['SMALL FORWARD'],robingl02,1.4,GOLDEN STATE WARRIORS,0.335,8.1,0.574,8.5,16.6,0.1,2.1,0.067
119,Chris Clemons,22,14.3,1.8,-1.0,-1.3,9.4,0.2,0.077,33,False,291,0.3,1.4,0.1,13.1,['SHOOTING GUARD'],clemoch01,1.4,HOUSTON ROCKETS,0.754,5.4,0.548,11.5,23.6,0.1,0.4,0.058
24,Lonzo Ball,22,29.1,1.6,0.6,0.6,16.4,2.0,0.111,63,False,2025,0.1,3.7,0.4,13.1,['POINT GUARD'],balllo01,2.0,NEW ORLEANS PELICANS,0.575,10.0,0.517,21.1,18.5,1.3,2.4,0.058
540,Denzel Valentine,26,14.2,1.2,-0.6,0.2,15.5,0.6,0.034,36,False,488,-0.8,1.9,-0.1,13.0,['SMALL FORWARD'],valende01,2.6,CHICAGO BULLS,0.578,8.4,0.511,9.8,23.3,0.2,0.5,0.048
398,Emmanuel Mudiay,23,20.9,1.0,-1.9,-0.1,13.5,0.9,0.254,54,False,850,-1.8,2.4,0.1,13.0,['POINT GUARD'],mudiaem01,1.4,UTAH JAZZ,0.266,8.2,0.543,17.3,22.6,0.0,1.0,0.057
531,Gary Trent Jr.,21,6.3,1.0,-0.3,-0.8,5.8,0.3,0.102,61,False,1332,0.5,2.0,2.2,12.9,['SMALL FORWARD'],trentga02,1.7,PORTLAND TRAIL BLAZERS,0.608,3.9,0.587,4.4,15.3,0.6,2.5,0.089
327,T.J. Leaf,22,5.7,1.6,-2.4,0.1,23.5,0.4,0.186,28,False,222,-2.5,11.5,-0.1,12.9,['POWER FORWARD'],leaftj01,2.2,INDIANA PACERS,0.209,17.5,0.451,7.9,20.0,0.0,0.3,0.061
244,Dewan Hernandez,23,16.4,0.0,-9.6,-3.0,33.2,0.1,0.357,6,False,28,-6.6,19.3,0.0,12.9,['CENTER'],hernade01,1.7,TORONTO RAPTORS,0.143,26.4,0.432,15.6,29.3,-0.1,0.0,0.043
418,Kendrick Nunn,24,18.5,0.8,-2.3,-1.3,8.7,1.6,0.109,67,False,1962,-1.0,1.2,0.4,12.9,['POINT GUARD'],nunnke01,1.4,MIAMI HEAT,0.428,5.1,0.534,10.6,24.1,-0.1,2.0,0.049
