,Unnamed: 0,title,time,url
78,78,Butler’s Big Night Helps Heat Cut Lakers’ Finals Lead To 2-1,off-season news,http://global.nba.com/news/butlers-big-night-helps-heat-cut-lakers-finals-lead-to-2-1/
79,79,"Bam Adebayo, Goran Dragic Ruled Out For Game 3",off-season news,http://global.nba.com/news/report-miami-heats-bam-adebayo-goran-dragic-doubtful-for-game-3/
80,80,"Facing Daunting Challenge vs. Lakers, Heat Vow To Find A Way",off-season news,http://global.nba.com/news/facing-daunting-challenge-vs-lakers-heat-vow-to-find-a-way/
81,81,Banged Up Heat Remain Defiant Despite 2-0 Deficit,off-season news,http://global.nba.com/news/banged-up-heat-remain-defiant-despite-2-0-deficit/
82,82,"Q&A: Del Harris, 2020 Winner Of Chuck Daly Lifetime Achievement Award",off-season news,http://global.nba.com/news/qa-del-harris-2020-winner-of-chuck-daly-lifetime-achievement-award/
83,83,5 Things We Learned From Game 2 Of 2020 Finals,off-season news,http://global.nba.com/news/5-things-we-learned-from-game-2-of-2020-finals/
84,84,"Injuries Have Waylaid Heat’s Chances, Just As Lakers Level Up",off-season news,http://global.nba.com/news/injuries-have-waylaid-heats-chances-just-as-lakers-level-up/
85,85,"The Finals Stat, Game 2: Lakers Ridiculously Efficient",off-season news,http://global.nba.com/news/the-finals-stat-game-2-lakers-ridiculously-efficient/
86,86,Halfway Home: Lakers Top Heat 124-114 For 2-0 Finals Lead,off-season news,http://global.nba.com/news/halfway-home-lakers-top-heat-124-114-for-2-0-finals-lead/
87,87,"Bam Adebayo, Goran Dragic Ruled Out For Game 2 Of Finals",off-season news,http://global.nba.com/news/report-bam-adebayo-shoulder-ruled-out-for-game-2-of-finals/
88,88,Del Harris Earns Well-Deserved Lifetime Achievement Award,off-season news,http://global.nba.com/news/del-harris-earns-well-deserved-lifetime-achievement-award/
89,89,Del Harris Receives 2020 Chuck Daly Lifetime Achievement Award,off-season news,http://global.nba.com/news/del-harris-receives-2020-chuck-daly-lifetime-achievement-award/
90,90,Lakers Stay Alert Ahead Of Game 2 vs. Heat,off-season news,http://global.nba.com/news/lakers-stay-alert-ahead-of-game-2-vs-heat/
91,91,"Attuned To Adversity, Jimmy Butler & Heat Ready To Climb Uphill Challenge In Finals",off-season news,http://global.nba.com/news/attuned-to-adversity-jimmy-butler-heat-ready-to-climb-uphill-challenge-in-finals/
92,92,"LeBron James, Anthony Davis Sublimate Egos In Search For Glory",off-season news,http://global.nba.com/news/lebron-james-anthony-davis-sublimate-egos-in-search-for-glory/
93,93,LeBron James Says Experience Helped Him ‘Have No Weakness’,off-season news,http://global.nba.com/news/lebron-james-says-experience-helped-him-have-no-weakness/
94,94,76ers Name Doc Rivers New Head Coach,off-season news,http://global.nba.com/news/report-76ers-hire-doc-rivers-as-head-coach/
95,95,Kobe Bryant’s Presence Felt During 2020 NBA Finals,off-season news,http://global.nba.com/news/kobe-bryants-presence-felt-during-2020-nba-finals/
96,96,Vince Carter Wins 2019-20 NBA Sportsmanship Award,off-season news,http://global.nba.com/news/vince-carter-wins-2019-20-nba-sportsmanship-award/
97,97,"Goran Dragic (Foot), Bam Adebayo (Neck Strain) Doubtful For Game 2",off-season news,http://global.nba.com/news/goran-dragic-exits-with-an-injured-foot-bam-adebayo-leaves-with-shoulder-injury/
98,98,5 Things We Learned From Game 1 Of 2020 Finals,off-season news,http://global.nba.com/news/5-things-we-learned-from-game-1-of-2020-finals/
